日期,星期,月份,是否周末,三态标签
2025-01-01,星期三,1,0,放假
2025-01-02,星期四,1,0,正常
2025-01-03,星期五,1,0,正常
2025-01-04,星期六,1,1,正常
2025-01-05,星期日,1,1,正常
2025-01-06,星期一,1,0,正常
2025-01-07,星期二,1,0,正常
2025-01-08,星期三,1,0,正常
2025-01-09,星期四,1,0,正常
2025-01-10,星期五,1,0,正常
2025-01-11,星期六,1,1,正常
2025-01-12,星期日,1,1,正常
2025-01-13,星期一,1,0,正常
2025-01-14,星期二,1,0,正常
2025-01-15,星期三,1,0,正常
2025-01-16,星期四,1,0,正常
2025-01-17,星期五,1,0,正常
2025-01-18,星期六,1,1,正常
2025-01-19,星期日,1,1,正常
2025-01-20,星期一,1,0,正常
2025-01-21,星期二,1,0,正常
2025-01-22,星期三,1,0,正常
2025-01-23,星期四,1,0,正常
2025-01-24,星期五,1,0,正常
2025-01-25,星期六,1,1,正常
2025-01-26,星期日,1,1,补班
2025-01-27,星期一,1,0,正常
2025-01-28,星期二,1,0,放假
2025-01-29,星期三,1,0,放假
2025-01-30,星期四,1,0,放假
2025-01-31,星期五,1,0,放假
2025-02-01,星期六,2,1,放假
2025-02-02,星期日,2,1,放假
2025-02-03,星期一,2,0,放假
2025-02-04,星期二,2,0,放假
2025-02-05,星期三,2,0,正常
2025-02-06,星期四,2,0,正常
2025-02-07,星期五,2,0,正常
2025-02-08,星期六,2,1,补班
2025-02-09,星期日,2,1,正常
2025-02-10,星期一,2,0,正常
2025-02-11,星期二,2,0,正常
2025-02-12,星期三,2,0,正常
2025-02-13,星期四,2,0,正常
2025-02-14,星期五,2,0,正常
2025-02-15,星期六,2,1,正常
2025-02-16,星期日,2,1,正常
2025-02-17,星期一,2,0,正常
2025-02-18,星期二,2,0,正常
2025-02-19,星期三,2,0,正常
2025-02-20,星期四,2,0,正常
2025-02-21,星期五,2,0,正常
2025-02-22,星期六,2,1,正常
2025-02-23,星期日,2,1,正常
2025-02-24,星期一,2,0,正常
2025-02-25,星期二,2,0,正常
2025-02-26,星期三,2,0,正常
2025-02-27,星期四,2,0,正常
2025-02-28,星期五,2,0,正常
2025-03-01,星期六,3,1,正常
2025-03-02,星期日,3,1,正常
2025-03-03,星期一,3,0,正常
2025-03-04,星期二,3,0,正常
2025-03-05,星期三,3,0,正常
2025-03-06,星期四,3,0,正常
2025-03-07,星期五,3,0,正常
2025-03-08,星期六,3,1,正常
2025-03-09,星期日,3,1,正常
2025-03-10,星期一,3,0,正常
2025-03-11,星期二,3,0,正常
2025-03-12,星期三,3,0,正常
2025-03-13,星期四,3,0,正常
2025-03-14,星期五,3,0,正常
2025-03-15,星期六,3,1,正常
2025-03-16,星期日,3,1,正常
2025-03-17,星期一,3,0,正常
2025-03-18,星期二,3,0,正常
2025-03-19,星期三,3,0,正常
2025-03-20,星期四,3,0,正常
2025-03-21,星期五,3,0,正常
2025-03-22,星期六,3,1,正常
2025-03-23,星期日,3,1,正常
2025-03-24,星期一,3,0,正常
2025-03-25,星期二,3,0,正常
2025-03-26,星期三,3,0,正常
2025-03-27,星期四,3,0,正常
2025-03-28,星期五,3,0,正常
2025-03-29,星期六,3,1,正常
2025-03-30,星期日,3,1,正常
2025-03-31,星期一,3,0,正常
2025-04-01,星期二,4,0,正常
2025-04-02,星期三,4,0,正常
2025-04-03,星期四,4,0,正常
2025-04-04,星期五,4,0,放假
2025-04-05,星期六,4,1,放假
2025-04-06,星期日,4,1,放假
2025-04-07,星期一,4,0,正常
2025-04-08,星期二,4,0,正常
2025-04-09,星期三,4,0,正常
2025-04-10,星期四,4,0,正常
