日期,方案ID,推广单元ID,展现量,点击量,消费额,上方位展现量,上方首位展现量,上方位点击量,上方位消费额,CTR,上方位展现占比,首位展现占比,上方位点击占比,上方位消费占比,异常标记
2025-01-01,495403620,9628223555,850,34,104.6,405,400,6,41.34,0.04,0.4765,0.4706,0.1765,0.3952,
2025-01-01,500635396,9657930100,1888,325,832.85,533,526,13,83.44,0.1721,0.2823,0.2786,0.04,0.1002,
2025-01-01,500635396,9700005700,22,0,0.0,18,14,0,0.0,0.0,0.8182,0.6364,,,
2025-01-01,525368335,9811363528,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-01-02,495403620,9628223555,6202,88,397.18,3095,3079,42,284.45,0.0142,0.499,0.4965,0.4773,0.7162,
2025-01-02,500635396,9657930100,7100,1112,2928.99,2136,2113,27,175.87,0.1566,0.3008,0.2976,0.0243,0.06,
2025-01-02,500635396,9700005700,2,0,0.0,2,1,0,0.0,0.0,1.0,0.5,,,
2025-01-02,525368335,9811363528,12,1,4.6,4,0,0,0.0,0.0833,0.3333,0.0,0.0,0.0,
2025-01-03,495403620,9628223555,2235,80,235.95,1109,1099,14,82.64,0.0358,0.4962,0.4917,0.175,0.3502,
2025-01-03,500635396,9657930100,7795,1127,3016.75,2819,2796,52,332.09,0.1446,0.3616,0.3587,0.0461,0.1101,
2025-01-03,500635396,9700005700,5,0,0.0,1,1,0,0.0,0.0,0.2,0.2,,,
2025-01-03,525368335,9811363528,16,0,0.0,10,3,0,0.0,0.0,0.625,0.1875,,,
2025-01-04,495403620,9628223555,1690,49,139.26,800,787,11,65.43,0.029,0.4734,0.4657,0.2245,0.4698,
2025-01-04,500635396,9657930100,6811,1039,2756.29,2105,2089,42,266.29,0.1525,0.3091,0.3067,0.0404,0.0966,
2025-01-04,500635396,9700005700,4,0,0.0,2,1,0,0.0,0.0,0.5,0.25,,,
2025-01-04,525368335,9811363528,21,0,0.0,13,1,0,0.0,0.0,0.619,0.0476,,,
2025-01-05,495403620,9628223555,982,36,107.27,379,363,4,22.55,0.0367,0.3859,0.3697,0.1111,0.2102,
2025-01-05,500635396,9657930100,6548,1049,2759.02,1930,1904,33,200.56,0.1602,0.2947,0.2908,0.0315,0.0727,
2025-01-05,500635396,9700005700,4,0,0.0,3,2,0,0.0,0.0,0.75,0.5,,,
2025-01-05,525368335,9811363528,12,4,2.61,1,1,0,0.0,0.3333,0.0833,0.0833,0.0,0.0,
2025-01-06,495403620,9628223555,693,62,109.59,46,43,1,2.06,0.0895,0.0664,0.062,0.0161,0.0188,
2025-01-06,500635396,9657930100,2785,271,577.58,128,120,4,11.61,0.0973,0.046,0.0431,0.0148,0.0201,
2025-01-06,500635396,9700005700,7,0,0.0,2,0,0,0.0,0.0,0.2857,0.0,,,
2025-01-06,525368335,9811363528,30,14,24.46,8,7,3,4.66,0.4667,0.2667,0.2333,0.2143,0.1905,
2025-01-07,495403620,9628223555,584,67,116.02,35,32,2,4.12,0.1147,0.0599,0.0548,0.0299,0.0355,
2025-01-07,500635396,9657930100,2399,230,478.58,82,73,1,3.44,0.0959,0.0342,0.0304,0.0043,0.0072,
2025-01-07,500635396,9700005700,12,0,0.0,10,4,0,0.0,0.0,0.8333,0.3333,,,
2025-01-07,525368335,9811363528,40,3,2.22,11,7,0,0.0,0.075,0.275,0.175,0.0,0.0,
2025-01-08,495403620,9628223555,945,43,148.5,369,359,17,90.75,0.0455,0.3905,0.3799,0.3953,0.6111,
2025-01-08,500635396,9657930100,6794,1039,2688.86,1631,1610,27,158.08,0.1529,0.2401,0.237,0.026,0.0588,
2025-01-08,500635396,9700005700,2,0,0.0,1,0,0,0.0,0.0,0.5,0.0,,,
2025-01-08,525368335,9811363528,31,13,23.54,16,13,2,0.96,0.4194,0.5161,0.4194,0.1538,0.0408,
2025-01-09,495403620,9628223555,3415,141,409.68,1204,1182,30,171.68,0.0413,0.3526,0.3461,0.2128,0.4191,
2025-01-09,500635396,9657930100,6702,1043,2763.37,1768,1742,37,232.23,0.1556,0.2638,0.2599,0.0355,0.084,
2025-01-09,500635396,9700005700,4,0,0.0,2,2,0,0.0,0.0,0.5,0.5,,,
2025-01-09,525368335,9811363528,31,2,1.27,17,16,0,0.0,0.0645,0.5484,0.5161,0.0,0.0,
2025-01-10,495403620,9628223555,6728,220,678.28,2651,2613,51,329.35,0.0327,0.394,0.3884,0.2318,0.4856,
2025-01-10,500635396,9657930100,9848,1545,3878.67,2725,2646,44,244.99,0.1569,0.2767,0.2687,0.0285,0.0632,
2025-01-10,500635396,9700005700,2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-01-10,525368335,9811363528,6,0,0.0,2,2,0,0.0,0.0,0.3333,0.3333,,,
2025-01-11,495403620,9628223555,11124,235,828.73,4546,4503,84,527.36,0.0211,0.4087,0.4048,0.3574,0.6363,
2025-01-11,500635396,9657930100,9716,1643,4164.65,1978,1893,51,280.62,0.1691,0.2036,0.1948,0.031,0.0674,
2025-01-12,495403620,9628223555,10573,258,843.88,4168,4128,79,477.59,0.0244,0.3942,0.3904,0.3062,0.5659,
2025-01-12,500635396,9657930100,9405,1622,3955.9,2198,2113,51,294.82,0.1725,0.2337,0.2247,0.0314,0.0745,
2025-01-13,495403620,9628223555,5376,106,175.27,257,251,11,23.81,0.0197,0.0478,0.0467,0.1038,0.1358,
2025-01-13,500635396,9657930100,3235,317,663.75,147,123,0,0.0,0.098,0.0454,0.038,0.0,0.0,
2025-01-14,495403620,9628223555,5620,128,226.4,331,318,14,31.42,0.0228,0.0589,0.0566,0.1094,0.1388,
2025-01-14,500635396,9657930100,2783,274,562.31,118,108,6,17.3,0.0985,0.0424,0.0388,0.0219,0.0308,
2025-01-15,495403620,9628223555,15028,397,1178.2,6383,6323,95,586.25,0.0264,0.4247,0.4207,0.2393,0.4976,
2025-01-15,495817671,9630806627,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-01-15,500635396,9657930100,8039,1697,4347.28,1250,1166,39,213.95,0.2111,0.1555,0.145,0.023,0.0492,
2025-01-15,525368335,9811363528,2696,325,843.13,1211,1190,32,172.99,0.1205,0.4492,0.4414,0.0985,0.2052,
2025-01-16,495403620,9628223555,8810,360,947.11,3107,3058,56,328.4,0.0409,0.3527,0.3471,0.1556,0.3467,
2025-01-16,495817671,9630806627,32,4,5.32,13,11,1,1.58,0.125,0.4062,0.3438,0.25,0.297,
2025-01-16,500635396,9657930100,12114,1500,3876.22,3719,3653,90,520.64,0.1238,0.307,0.3016,0.06,0.1343,
2025-01-16,525368335,9811363528,9263,990,2705.75,4687,4575,102,611.6,0.1069,0.506,0.4939,0.103,0.226,
2025-01-17,495403620,9628223555,7087,323,808.93,2485,2449,38,220.15,0.0456,0.3506,0.3456,0.1176,0.2721,
2025-01-17,495817671,9630806627,30,1,0.15,4,1,0,0.0,0.0333,0.1333,0.0333,0.0,0.0,
2025-01-17,500635396,9657930100,13428,1357,3615.08,4603,4527,81,477.51,0.1011,0.3428,0.3371,0.0597,0.1321,
2025-01-17,500635396,9700005700,2,0,0.0,2,2,0,0.0,0.0,1.0,1.0,,,
2025-01-17,525368335,9811363528,12048,989,2773.53,6803,6682,112,718.22,0.0821,0.5647,0.5546,0.1132,0.259,
2025-01-18,495403620,9628223555,985,41,111.8,251,245,9,35.95,0.0416,0.2548,0.2487,0.2195,0.3216,
2025-01-18,495817671,9630806627,12,2,0.3,2,2,0,0.0,0.1667,0.1667,0.1667,0.0,0.0,
2025-01-18,500635396,9657930100,4355,577,1533.17,1043,1016,19,107.4,0.1325,0.2395,0.2333,0.0329,0.0701,
2025-01-18,500635396,9700005700,8,1,6.91,4,1,1,6.91,0.125,0.5,0.125,1.0,1.0,
2025-01-18,525368335,9811363528,10067,1068,3040.72,4657,4522,139,817.0,0.1061,0.4626,0.4492,0.1301,0.2687,
2025-01-19,495403620,9628223555,1399,69,178.08,521,512,9,47.68,0.0493,0.3724,0.366,0.1304,0.2677,
2025-01-19,495817671,9630806627,21,1,0.21,4,2,1,0.21,0.0476,0.1905,0.0952,1.0,1.0,
2025-01-19,500635396,9657930100,5873,576,1613.92,2075,2006,30,194.57,0.0981,0.3533,0.3416,0.0521,0.1206,
2025-01-19,500635396,9700005700,4,0,0.0,2,2,0,0.0,0.0,0.5,0.5,,,
2025-01-19,525368335,9811363528,15498,1098,3186.31,7993,7873,147,887.35,0.0708,0.5157,0.508,0.1339,0.2785,
2025-01-20,495403620,9628223555,743,76,151.44,82,70,5,11.55,0.1023,0.1104,0.0942,0.0658,0.0763,
2025-01-20,495817671,9630806627,39,8,4.77,5,4,0,0.0,0.2051,0.1282,0.1026,0.0,0.0,
2025-01-20,500635396,9657930100,4095,667,1507.21,385,348,7,19.79,0.1629,0.094,0.085,0.0105,0.0131,
2025-01-20,500635396,9700005700,1,0,0.0,1,1,0,0.0,0.0,1.0,1.0,,,
2025-01-20,525368335,9811363528,9164,419,829.51,542,508,13,30.58,0.0457,0.0591,0.0554,0.031,0.0369,
2025-01-21,495403620,9628223555,246,28,62.17,21,18,4,13.76,0.1138,0.0854,0.0732,0.1429,0.2213,
2025-01-21,495817671,9630806627,58,19,39.73,22,19,5,12.02,0.3276,0.3793,0.3276,0.2632,0.3025,
2025-01-21,500635396,9657930100,1056,100,218.2,136,122,6,18.24,0.0947,0.1288,0.1155,0.06,0.0836,
2025-01-21,500635396,9700005700,1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,,,
2025-01-21,525368335,9811363528,8205,421,862.92,504,477,19,53.08,0.0513,0.0614,0.0581,0.0451,0.0615,
2025-01-22,495403620,9628223555,582,84,190.16,86,65,11,39.53,0.1443,0.1478,0.1117,0.131,0.2079,
2025-01-22,495817671,9630806627,86,15,37.84,29,23,4,11.95,0.1744,0.3372,0.2674,0.2667,0.3158,
2025-01-22,500635396,9657930100,1850,292,900.27,373,324,29,147.54,0.1578,0.2016,0.1751,0.0993,0.1639,
2025-01-22,500635396,9700005700,1,0,0.0,1,0,0,0.0,0.0,1.0,0.0,,,
2025-01-22,525368335,9811363528,15478,1107,3189.37,7733,7605,150,938.94,0.0715,0.4996,0.4913,0.1355,0.2944,
2025-01-23,495403620,9628223555,1186,183,394.97,162,134,10,48.77,0.1543,0.1366,0.113,0.0546,0.1235,
2025-01-23,495817671,9630806627,59,9,43.05,30,21,7,41.64,0.1525,0.5085,0.3559,0.7778,0.9672,
2025-01-23,500635396,9657930100,4901,870,2349.16,857,789,22,145.14,0.1775,0.1749,0.161,0.0253,0.0618,
2025-01-23,500635396,9700005700,7,0,0.0,2,0,0,0.0,0.0,0.2857,0.0,,,
2025-01-23,525368335,9811363528,12345,1038,2846.15,5879,5749,125,725.49,0.0841,0.4762,0.4657,0.1204,0.2549,
2025-01-24,495403620,9628223555,2800,406,837.34,645,612,17,105.38,0.145,0.2304,0.2186,0.0419,0.1259,
2025-01-24,495817671,9630806627,63,6,22.14,30,22,2,11.8,0.0952,0.4762,0.3492,0.3333,0.533,
2025-01-24,500635396,9657930100,14578,1068,3032.18,5753,5653,100,696.09,0.0733,0.3946,0.3878,0.0936,0.2296,
2025-01-24,500635396,9700005700,5,2,3.55,5,2,2,3.55,0.4,1.0,0.4,1.0,1.0,
2025-01-24,525368335,9811363528,7285,506,1468.77,3728,3668,65,416.5,0.0695,0.5117,0.5035,0.1285,0.2836,
2025-01-25,495403620,9628223555,4753,631,1394.82,1165,1118,39,232.77,0.1328,0.2451,0.2352,0.0618,0.1669,
2025-01-25,500635396,9657930100,20662,1690,4625.67,6965,6875,105,717.34,0.0818,0.3371,0.3327,0.0621,0.1551,
2025-01-26,495403620,9628223555,6996,484,1259.87,2808,2760,54,329.2,0.0692,0.4014,0.3945,0.1116,0.2613,
2025-01-26,500635396,9657930100,17454,1772,4763.43,6206,6101,125,783.94,0.1015,0.3556,0.3495,0.0705,0.1646,
2025-01-27,495403620,9628223555,3521,338,634.93,359,337,17,45.68,0.096,0.102,0.0957,0.0503,0.0719,
2025-01-27,500635396,9657930100,8408,857,1870.48,635,583,20,60.73,0.1019,0.0755,0.0693,0.0233,0.0325,
2025-01-28,495403620,9628223555,3354,118,375.68,1272,1246,35,217.26,0.0352,0.3792,0.3715,0.2966,0.5783,
2025-01-28,500635396,9657930100,3140,532,1264.32,558,539,12,50.65,0.1694,0.1777,0.1717,0.0226,0.0401,
2025-01-29,495403620,9628223555,1412,51,137.78,765,758,10,54.14,0.0361,0.5418,0.5368,0.1961,0.3929,
2025-01-29,500635396,9657930100,1252,196,500.3,331,323,7,40.79,0.1565,0.2644,0.258,0.0357,0.0815,
2025-01-30,495403620,9628223555,1011,18,86.68,358,351,13,74.74,0.0178,0.3541,0.3472,0.7222,0.8623,
2025-01-30,500635396,9657930100,758,226,521.89,121,117,2,12.09,0.2982,0.1596,0.1544,0.0088,0.0232,
2025-01-31,495403620,9628223555,1320,42,148.51,580,568,15,86.87,0.0318,0.4394,0.4303,0.3571,0.5849,
2025-01-31,500635396,9657930100,1106,232,572.8,225,214,7,36.0,0.2098,0.2034,0.1935,0.0302,0.0628,
2025-02-01,495403620,9628223555,1661,58,196.94,750,737,23,131.35,0.0349,0.4515,0.4437,0.3966,0.667,
2025-02-01,500635396,9657930100,1262,255,606.1,253,238,8,32.31,0.2021,0.2005,0.1886,0.0314,0.0533,
2025-02-02,495403620,9628223555,2255,76,235.81,1219,1201,19,113.0,0.0337,0.5406,0.5326,0.25,0.4792,
2025-02-02,500635396,9657930100,1697,403,919.23,376,365,8,42.35,0.2375,0.2216,0.2151,0.0199,0.0461,
2025-02-03,495403620,9628223555,1966,26,103.09,941,922,12,70.55,0.0132,0.4786,0.469,0.4615,0.6844,
2025-02-03,500635396,9657930100,2339,560,1300.19,617,601,10,56.16,0.2394,0.2638,0.2569,0.0179,0.0432,
2025-02-04,495403620,9628223555,2454,35,146.31,1312,1290,18,104.97,0.0143,0.5346,0.5257,0.5143,0.7174,
2025-02-04,500635396,9657930100,3362,704,1660.08,1115,1084,30,162.79,0.2094,0.3316,0.3224,0.0426,0.0981,
2025-02-05,495403620,9628223555,2316,48,167.48,1137,1105,21,107.59,0.0207,0.4909,0.4771,0.4375,0.6424,
2025-02-05,500635396,9657930100,4945,786,1840.34,1410,1382,21,107.12,0.1589,0.2851,0.2795,0.0267,0.0582,
2025-02-06,495403620,9628223555,2443,38,170.26,1357,1335,17,111.89,0.0156,0.5555,0.5465,0.4474,0.6572,
2025-02-06,500635396,9657930100,4298,747,1873.71,1187,1159,25,154.99,0.1738,0.2762,0.2697,0.0335,0.0827,
2025-02-07,495403620,9628223555,5900,136,449.39,2492,2460,35,217.71,0.0231,0.4224,0.4169,0.2574,0.4845,
2025-02-07,500635396,9657930100,4749,862,2073.95,790,764,15,78.98,0.1815,0.1664,0.1609,0.0174,0.0381,
2025-02-08,495403620,9628223555,3126,188,383.3,364,347,26,74.42,0.0601,0.1164,0.111,0.1383,0.1942,
2025-02-08,500635396,9657930100,7786,733,1554.97,630,599,14,38.39,0.0941,0.0809,0.0769,0.0191,0.0247,
2025-02-09,495403620,9628223555,10464,484,1309.49,5069,4983,75,471.01,0.0463,0.4844,0.4762,0.155,0.3597,
2025-02-09,500635396,9657930100,15342,1777,4714.46,5167,5060,103,664.88,0.1158,0.3368,0.3298,0.058,0.141,
2025-02-10,495403620,9628223555,7482,456,1130.5,3147,3066,53,321.24,0.0609,0.4206,0.4098,0.1162,0.2842,
2025-02-10,500635396,9657930100,16236,1852,4914.85,5658,5534,116,733.61,0.1141,0.3485,0.3408,0.0626,0.1493,
2025-02-11,495403620,9628223555,6808,526,1309.49,2457,2386,72,442.72,0.0773,0.3609,0.3505,0.1369,0.3381,
2025-02-11,500635396,9657930100,17175,1796,4717.34,5787,5699,97,618.81,0.1046,0.3369,0.3318,0.054,0.1312,
2025-02-12,495403620,9628223555,10034,536,1449.05,4289,4203,95,591.84,0.0534,0.4274,0.4189,0.1772,0.4084,
2025-02-12,500635396,9657930100,13279,1597,4147.45,4165,4035,78,516.38,0.1203,0.3137,0.3039,0.0488,0.1245,
2025-02-13,495403620,9628223555,9057,592,1439.11,3116,3054,62,397.99,0.0654,0.344,0.3372,0.1047,0.2766,
2025-02-13,500635396,9657930100,10893,1288,3345.66,3020,2929,63,409.6,0.1182,0.2772,0.2689,0.0489,0.1224,
2025-02-14,495403620,9628223555,4995,288,583.83,1082,1047,32,124.66,0.0577,0.2166,0.2096,0.1111,0.2135,
2025-02-14,500635396,9657930100,5325,760,1707.86,814,771,9,38.8,0.1427,0.1529,0.1448,0.0118,0.0227,
2025-02-15,495403620,9628223555,8271,296,849.73,3413,3350,61,361.05,0.0358,0.4126,0.405,0.2061,0.4249,
