日期,新注册数,日总消费,日CPA
2025-01-01,102,937.45,9.1907
2025-01-02,284,3330.7699999999995,11.7281
2025-01-03,289,3252.7,11.255
2025-01-04,299,2895.55,9.6841
2025-01-05,298,2868.9,9.6272
2025-01-06,109,711.6300000000001,6.5287
2025-01-07,116,596.8199999999999,5.145
2025-01-08,267,2860.9,10.715
2025-01-09,285,3174.3199999999997,11.138
2025-01-10,279,4556.95,16.3332
2025-01-11,236,4993.379999999999,21.1584
2025-01-12,260,4799.78,18.4607
2025-01-13,64,839.02,13.1097
2025-01-14,57,788.7099999999999,13.837
2025-01-15,262,6368.61,24.3077
2025-01-16,241,7534.4,31.2631
2025-01-17,292,7197.6900000000005,24.6496
2025-01-18,353,4692.9,13.2943
2025-01-19,360,4978.52,13.8292
2025-01-20,345,2492.9300000000003,7.2259
2025-01-21,375,1183.02,3.1547
2025-01-22,308,4317.639999999999,14.0183
2025-01-23,314,5633.33,17.9405
2025-01-24,308,5363.98,17.4155
2025-01-25,325,6020.49,18.5246
2025-01-26,335,6023.3,17.98
2025-01-27,187,2505.41,13.3979
2025-01-28,77,1640.0,21.2987
2025-01-29,40,638.08,15.952
2025-01-30,42,608.5699999999999,14.4898
2025-01-31,40,721.31,18.0328
2025-02-01,43,803.04,18.6753
2025-02-02,56,1155.04,20.6257
2025-02-03,72,1403.28,19.49
2025-02-04,92,1806.3899999999999,19.6347
2025-02-05,125,2007.82,16.0626
2025-02-06,110,2043.97,18.5815
2025-02-07,112,2523.3399999999997,22.5298
2025-02-08,121,1938.27,16.0188
2025-02-09,285,6023.95,21.1367
2025-02-10,329,6045.35,18.3749
2025-02-11,322,6026.83,18.7169
2025-02-12,293,5596.5,19.1007
2025-02-13,257,4784.7699999999995,18.6178
2025-02-14,164,2291.69,13.9737
2025-02-15,219,4297.860000000001,19.6249
2025-02-16,217,4163.5599999999995,19.1869
2025-02-17,185,3486.36,18.8452
2025-02-18,232,4774.400000000001,20.5793
2025-02-19,285,6011.5,21.093
2025-02-20,328,7039.79,21.4628
2025-02-21,347,9725.85,28.0284
2025-02-22,423,11883.539999999999,28.0935
2025-02-23,654,5409.82,8.2719
2025-02-24,325,4136.360000000001,12.7273
2025-02-25,434,9347.93,21.539
2025-02-26,765,11830.61,15.4648
2025-02-27,743,10743.59,14.4597
2025-02-28,847,11046.39,13.0418
2025-03-01,718,11748.529999999999,16.3629
2025-03-02,627,7925.84,12.6409
2025-03-03,634,6201.39,9.7814
2025-03-04,669,8578.15,12.8223
2025-03-05,793,8898.189999999999,11.2209
2025-03-06,876,9476.79,10.8183
2025-03-07,683,11087.039999999999,16.2329
2025-03-08,480,11077.67,23.0785
2025-03-09,284,5910.83,20.8128
2025-03-10,320,4137.0,12.9281
2025-03-11,556,7027.45,12.6393
2025-03-12,623,8650.55,13.8853
2025-03-13,314,8223.18,26.1885
2025-03-14,464,5448.18,11.7418
2025-03-15,461,7132.08,15.4709
2025-03-16,227,7194.849999999999,31.6954
2025-03-17,269,8039.120000000001,29.8852
2025-03-18,549,6559.960000000001,11.9489
2025-03-19,480,14977.470000000001,31.2031
