序号,关键词ID,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均停留秒,是否零点击词,CPC,浏览深度,异常标记
1,9,63563817,1841014603,3424.41,3271,9750,0.6109,196,0,1.0469,2.9807,
2,283,63563817,1841014603,0.0,0,0,,,1,,,
3,726,63563817,1841014603,252.86,135,255,0.9059,39,0,1.873,1.8889,
4,770,63563817,1841014603,0.0,0,0,,,1,,,
5,800,63563817,1841014603,0.0,0,0,,,1,,,
6,867,63563817,1841014603,0.0,0,0,,,1,,,
7,1186,63563817,1841014603,1.79,1,1,1.0,13,0,1.79,1.0,
8,1277,63563817,1841014603,0.0,0,0,,,1,,,
9,1517,63563817,1841014603,0.0,0,0,,,1,,,
10,1567,63563817,1841014603,37.32,23,77,0.6957,187,0,1.6226,3.3478,
11,1583,63563817,1841014603,0.0,0,0,,,1,,,
12,1667,63563817,1841014603,88.09,41,86,0.8333,49,0,2.1485,2.0976,
13,2023,63563817,1841014603,0.0,0,0,,,1,,,
14,2083,63563817,1841014603,0.0,0,0,,,1,,,
15,2123,63563817,1841014603,6.32,3,2,1.0,8,0,2.1067,0.6667,浏览<点击
16,2294,63563817,1841014603,0.0,0,0,,,1,,,
17,2373,63563817,1841014603,0.0,0,0,,,1,,,
18,2384,63563817,1841014603,0.0,0,0,,,1,,,
19,2478,63563817,1841014603,49.0,25,166,0.4737,646,0,1.96,6.64,
20,2505,63563817,1841014603,6.15,2,7,0.0,142,0,3.075,3.5,
21,2570,63563817,1841014603,10.34,7,27,0.5,54,0,1.4771,3.8571,
22,2590,63563817,1841014603,0.0,0,0,,,1,,,
23,2789,63563817,1841014603,0.0,0,0,,,1,,,
24,2889,63563817,1841014603,1.89,1,1,1.0,21,0,1.89,1.0,
25,2892,63563817,1841014603,30.77,18,54,0.6842,119,0,1.7094,3.0,
26,2980,63563817,1841014603,0.0,0,0,,,1,,,
27,2985,63563817,1841014603,114.03,75,197,0.6901,164,0,1.5204,2.6267,
28,3106,63563817,1841014603,0.0,0,0,,,1,,,
29,3160,63563817,1841014603,0.0,0,0,,,1,,,
30,3169,63563817,1841014603,5.66,4,4,1.0,7,0,1.415,1.0,
31,3304,63563817,1841014603,7.68,5,6,0.75,50,0,1.536,1.2,
32,3334,63563817,1841014603,0.0,0,0,,,1,,,
33,3485,63563817,1841014603,0.0,0,0,,,1,,,
34,3501,63563817,1841014603,13.49,8,40,0.75,361,0,1.6862,5.0,
35,3732,63563817,1841014603,15.92,10,11,0.9,29,0,1.592,1.1,
36,3840,63563817,1841014603,0.0,0,0,,,1,,,
37,4043,63563817,1841014603,0.0,0,0,,,1,,,
38,4048,63563817,1841014603,2.81,2,23,0.0,477,0,1.405,11.5,
39,4183,63563817,1841014603,0.0,0,0,,,1,,,
40,4186,63563817,1841014603,3.17,2,3,0.5,124,0,1.585,1.5,
41,4195,63563817,1841014603,0.0,0,0,,,1,,,
42,4675,63563817,1841014603,1.45,1,3,0.0,42,0,1.45,3.0,
43,4713,63563817,1841014603,7.19,4,8,0.5,31,0,1.7975,2.0,
44,4773,63563817,1841014603,52.44,31,42,0.8621,48,0,1.6916,1.3548,
45,4827,63563817,1841014603,14.14,7,13,0.6667,255,0,2.02,1.8571,
46,4868,63563817,1841014603,6.19,3,3,1.0,191,0,2.0633,1.0,
47,5001,63563817,1841014603,0.0,0,0,,,1,,,
48,5010,63563817,1841014603,0.0,0,0,,,1,,,
49,5134,63563817,1841014603,68.89,48,115,0.6744,178,0,1.4352,2.3958,
50,5176,63563817,1841014603,0.0,0,0,,,1,,,
51,5190,63563817,1841014603,0.0,0,0,,,1,,,
52,5267,63563817,1841014603,3.36,2,4,0.5,133,0,1.68,2.0,
53,5307,63563817,1841014603,88.18,34,40,0.6667,90,0,2.5935,1.1765,
54,5310,63563817,1841014603,0.0,0,0,,,1,,,
55,5330,63563817,1841014603,0.0,0,0,,,1,,,
56,5353,63563817,1841014603,0.0,0,0,,,1,,,
57,5374,63563817,1841014603,38.32,26,33,0.7895,153,0,1.4738,1.2692,
58,5393,63563817,1841014603,0.0,0,0,,,1,,,
59,5418,63563817,1841014603,16.8,10,27,0.8,104,0,1.68,2.7,
60,5592,63563817,1841014603,7.11,4,3,1.0,7,0,1.7775,0.75,浏览<点击
61,5701,63563817,1841014603,0.0,0,0,,,1,,,
62,5758,63563817,1841014603,0.0,0,0,,,1,,,
63,5801,63563817,1841014603,0.5,1,2,0.0,32,0,0.5,2.0,
64,5812,63563817,1841014603,0.0,0,0,,,1,,,
65,5849,63563817,1841014603,0.0,0,0,,,1,,,
66,5973,63563817,1841014603,0.0,0,0,,,1,,,
67,5976,63563817,1841014603,0.0,0,0,,,1,,,
68,6082,63563817,1841014603,0.0,0,0,,,1,,,
69,6083,63563817,1841014603,126.96,76,279,0.6053,197,0,1.6705,3.6711,
70,6086,63563817,1841014603,0.0,0,0,,,1,,,
71,6149,63563817,1841014603,183.37,97,613,0.4804,397,0,1.8904,6.3196,
72,6299,63563817,1841014603,0.0,0,0,,,1,,,
73,6325,63563817,1841014603,18.15,9,13,0.75,41,0,2.0167,1.4444,
74,6352,63563817,1841014603,61.07,36,181,0.4286,404,0,1.6964,5.0278,
75,6364,63563817,1841014603,0.0,0,0,,,1,,,
76,6414,63563817,1841014603,1.78,1,1,1.0,260,0,1.78,1.0,
77,56,63563817,2526158329,0.0,0,0,,,1,,,
78,480,63563817,2526158329,12.25,4,4,1.0,187,0,3.0625,1.0,
79,770,63563817,2526158329,41.28,30,49,0.75,107,0,1.376,1.6333,
80,846,63563817,2526158329,0.0,0,0,,,1,,,
81,934,63563817,2526158329,3.84,2,4,0.5,16,0,1.92,2.0,
82,1262,63563817,2526158329,2.21,1,1,1.0,11,0,2.21,1.0,
83,1277,63563817,2526158329,0.0,0,0,,,1,,,
84,1385,63563817,2526158329,11.15,5,9,1.0,43,0,2.23,1.8,
85,2052,63563817,2526158329,0.0,0,0,,,1,,,
86,2373,63563817,2526158329,0.0,0,0,,,1,,,
87,2397,63563817,2526158329,8.06,6,24,0.75,293,0,1.3433,4.0,
88,2514,63563817,2526158329,0.0,0,0,,,1,,,
89,2942,63563817,2526158329,0.0,0,0,,,1,,,
90,3286,63563817,2526158329,1.9,1,1,1.0,19,0,1.9,1.0,
91,3791,63563817,2526158329,0.0,0,0,,,1,,,
92,4113,63563817,2526158329,0.0,0,0,,,1,,,
93,4348,63563817,2526158329,23.31,12,15,0.8333,25,0,1.9425,1.25,
94,4497,63563817,2526158329,15.14,10,30,0.963,30,0,1.514,3.0,
95,5236,63563817,2526158329,7.11,5,36,0.5,1272,0,1.422,7.2,
96,5700,63563817,2526158329,3.63,2,1,1.0,3,0,1.815,0.5,浏览<点击
97,5910,63563817,2526158329,0.0,0,0,,,1,,,
98,5942,63563817,2526158329,0.0,0,0,,,1,,,
99,6014,63563817,2526158329,0.0,0,0,,,1,,,
100,6207,63563817,2526158329,2.68,2,3,0.0,19,0,1.34,1.5,
101,6545,63563817,2526158329,14.84,6,37,0.5714,180,0,2.4733,6.1667,
102,6604,63563817,2526158329,1.8,1,2,0.0,9,0,1.8,2.0,
103,18,63563817,2874903000,0.0,0,0,,,1,,,
104,19,63563817,2874903000,0.0,0,0,,,1,,,
105,147,63563817,2874903000,41.96,37,51,0.9565,80,0,1.1341,1.3784,
106,193,63563817,2874903000,4.83,5,4,1.0,63,0,0.966,0.8,浏览<点击
107,384,63563817,2874903000,25.16,17,21,0.8824,67,0,1.48,1.2353,
108,405,63563817,2874903000,39.06,26,22,1.0,56,0,1.5023,0.8462,浏览<点击
109,431,63563817,2874903000,121.72,94,161,0.9146,114,0,1.2949,1.7128,
110,504,63563817,2874903000,60.02,45,64,0.9667,60,0,1.3338,1.4222,
111,615,63563817,2874903000,0.0,0,0,,,1,,,
112,648,63563817,2874903000,5.79,4,3,1.0,83,0,1.4475,0.75,浏览<点击
113,811,63563817,2874903000,20.17,13,13,0.9167,137,0,1.5515,1.0,
114,891,63563817,2874903000,0.0,0,0,,,1,,,
115,1176,63563817,2874903000,0.0,0,0,,,1,,,
116,1307,63563817,2874903000,0.81,1,0,0.0,0,0,0.81,0.0,浏览<点击
117,1461,63563817,2874903000,28.41,18,16,1.0,29,0,1.5783,0.8889,浏览<点击
118,1490,63563817,2874903000,1.88,1,1,1.0,8,0,1.88,1.0,
119,1541,63563817,2874903000,0.0,0,0,,,1,,,
120,1552,63563817,2874903000,11.22,8,4,1.0,3,0,1.4025,0.5,浏览<点击
121,1812,63563817,2874903000,7.32,4,3,1.0,3,0,1.83,0.75,浏览<点击
122,1849,63563817,2874903000,0.0,0,0,,,1,,,
123,2038,63563817,2874903000,84.93,60,60,0.9057,128,0,1.4155,1.0,
124,2081,63563817,2874903000,0.0,0,0,,,1,,,
125,2107,63563817,2874903000,60.53,43,37,0.9714,90,0,1.4077,0.8605,浏览<点击
126,2249,63563817,2874903000,4.33,3,3,1.0,46,0,1.4433,1.0,
127,2270,63563817,2874903000,26.65,15,13,1.0,34,0,1.7767,0.8667,浏览<点击
128,2275,63563817,2874903000,264.04,180,181,0.9463,87,0,1.4669,1.0056,
129,2499,63563817,2874903000,1.08,1,0,0.0,0,0,1.08,0.0,浏览<点击
130,2561,63563817,2874903000,402.98,281,248,0.9607,79,0,1.4341,0.8826,浏览<点击
131,2574,63563817,2874903000,4.62,2,1,1.0,120,0,2.31,0.5,浏览<点击
132,2596,63563817,2874903000,1.47,1,1,1.0,1,0,1.47,1.0,
133,2669,63563817,2874903000,7.34,7,9,0.8571,23,0,1.0486,1.2857,
134,2733,63563817,2874903000,9.83,7,7,1.0,88,0,1.4043,1.0,
135,2774,63563817,2874903000,37.05,27,17,1.0,93,0,1.3722,0.6296,浏览<点击
136,2797,63563817,2874903000,5.41,4,3,1.0,4,0,1.3525,0.75,浏览<点击
137,2803,63563817,2874903000,8.18,7,7,1.0,23,0,1.1686,1.0,
138,2863,63563817,2874903000,27.28,18,12,1.0,86,0,1.5156,0.6667,浏览<点击
139,2938,63563817,2874903000,40.92,30,26,0.9091,72,0,1.364,0.8667,浏览<点击
140,2959,63563817,2874903000,1.27,2,2,1.0,25,0,0.635,1.0,
141,3163,63563817,2874903000,614.71,402,350,0.9824,44,0,1.5291,0.8706,浏览<点击
142,3422,63563817,2874903000,7.28,6,4,1.0,66,0,1.2133,0.6667,浏览<点击
143,3465,63563817,2874903000,1.98,2,1,1.0,1,0,0.99,0.5,浏览<点击
144,3540,63563817,2874903000,0.0,0,0,,,1,,,
145,3801,63563817,2874903000,12.08,9,7,1.0,40,0,1.3422,0.7778,浏览<点击
146,3863,63563817,2874903000,28.12,18,15,1.0,39,0,1.5622,0.8333,浏览<点击
147,3972,63563817,2874903000,18.12,14,15,0.9,70,0,1.2943,1.0714,
148,4023,63563817,2874903000,29.05,12,19,0.9375,72,0,2.4208,1.5833,
149,4166,63563817,2874903000,24.53,20,21,0.9444,41,0,1.2265,1.05,
150,4345,63563817,2874903000,0.56,1,0,0.0,0,0,0.56,0.0,浏览<点击
151,4347,63563817,2874903000,0.0,0,0,,,1,,,
152,4363,63563817,2874903000,0.15,1,1,1.0,15,0,0.15,1.0,
153,4400,63563817,2874903000,14.68,9,4,1.0,4,0,1.6311,0.4444,浏览<点击
154,4458,63563817,2874903000,14.62,7,5,1.0,237,0,2.0886,0.7143,浏览<点击
155,4527,63563817,2874903000,103.53,68,96,0.9153,293,0,1.5225,1.4118,
156,4667,63563817,2874903000,8.06,19,37,0.7059,196,0,0.4242,1.9474,
157,4700,63563817,2874903000,59.83,35,44,0.9231,83,0,1.7094,1.2571,
158,4738,63563817,2874903000,3.78,3,3,1.0,2,0,1.26,1.0,
159,4798,63563817,2874903000,105.25,107,116,0.973,83,0,0.9836,1.0841,
160,4805,63563817,2874903000,39.87,31,24,1.0,36,0,1.2861,0.7742,浏览<点击
161,4836,63563817,2874903000,2.94,3,2,1.0,61,0,0.98,0.6667,浏览<点击
162,4837,63563817,2874903000,36.73,24,25,0.9583,79,0,1.5304,1.0417,
163,4857,63563817,2874903000,26.8,21,20,0.875,31,0,1.2762,0.9524,浏览<点击
164,4860,63563817,2874903000,46.03,41,111,0.5625,173,0,1.1227,2.7073,
165,5241,63563817,2874903000,6.42,4,4,1.0,33,0,1.605,1.0,
166,5351,63563817,2874903000,4.07,3,6,0.75,558,0,1.3567,2.0,
167,5532,63563817,2874903000,68.56,43,82,0.9574,119,0,1.5944,1.907,
168,5926,63563817,2874903000,31.28,19,18,0.9412,77,0,1.6463,0.9474,浏览<点击
169,5995,63563817,2874903000,0.92,1,0,0.0,0,0,0.92,0.0,浏览<点击
170,6098,63563817,2874903000,0.0,0,0,,,1,,,
171,6242,63563817,2874903000,4.45,4,3,1.0,43,0,1.1125,0.75,浏览<点击
172,6282,63563817,2874903000,162.07,119,149,0.947,76,0,1.3619,1.2521,
173,6623,63563817,2874903000,0.0,0,0,,,1,,,
174,6633,63563817,2874903000,15.18,12,7,1.0,142,0,1.265,0.5833,浏览<点击
175,9,63563817,4190988309,34.07,14,71,0.7143,390,0,2.4336,5.0714,
176,152,63563817,4190988309,0.0,0,0,,,1,,,
177,770,63563817,4190988309,0.0,0,0,,,1,,,
178,886,63563817,4190988309,0.0,0,0,,,1,,,
179,1098,63563817,4190988309,0.0,0,0,,,1,,,
180,1203,63563817,4190988309,0.0,0,0,,,1,,,
181,1277,63563817,4190988309,0.0,0,0,,,1,,,
182,1651,63563817,4190988309,0.0,0,0,,,1,,,
183,1942,63563817,4190988309,0.0,0,0,,,1,,,
184,2050,63563817,4190988309,0.0,0,0,,,1,,,
185,2373,63563817,4190988309,0.0,0,0,,,1,,,
186,2397,63563817,4190988309,2.26,2,36,0.5,1490,0,1.13,18.0,
187,2478,63563817,4190988309,101.65,54,148,0.74,136,0,1.8824,2.7407,
188,2706,63563817,4190988309,0.48,2,0,0.0,0,0,0.24,0.0,浏览<点击
189,2725,63563817,4190988309,0.0,0,0,,,1,,,
190,2789,63563817,4190988309,0.0,0,0,,,1,,,
191,2941,63563817,4190988309,38.41,28,269,0.4138,643,0,1.3718,9.6071,
192,2977,63563817,4190988309,0.0,0,0,,,1,,,
193,3084,63563817,4190988309,0.0,0,0,,,1,,,
