日期,日消费,日点击,日展现,新注册数,CPA,CPA_7d
2025-01-01,937.45,359,2761,102,9.190686274509805,9.190686274509805
2025-01-02,3330.7699999999995,1201,13316,284,11.728063380281688,10.459374827395745
2025-01-03,3252.7,1207,10051,289,11.255017301038063,10.724588985276519
2025-01-04,2895.55,1088,8526,299,9.684113712374582,10.464470167051035
2025-01-05,2868.9,1089,7546,298,9.627181208053692,10.297012375251565
2025-01-06,711.6300000000001,347,3515,109,6.528715596330276,9.668962912098017
2025-01-07,596.8199999999999,300,3035,116,5.145,9.022682496084014
2025-01-08,2860.9,1095,7772,267,10.71498127340824,9.240438924498077
2025-01-09,3174.3199999999997,1186,10152,285,11.137964912280701,9.156139143355079
2025-01-10,4556.95,1765,16584,279,16.3331541218638,9.881587260615898
2025-01-11,4993.379999999999,1878,20840,236,21.158389830508472,11.520769563206455
2025-01-12,4799.78,1880,19978,260,18.460692307692305,12.782699720297686
2025-01-13,839.02,423,8611,64,13.1096875,13.722838563679074
2025-01-14,788.7099999999999,402,8403,57,13.837017543859648,14.964555355659025
2025-01-15,6368.61,2419,25764,262,24.30767175572519,16.9063682817043
2025-01-16,7534.4,2854,30219,241,31.263070539419086,19.7813833712955
2025-01-17,7197.6900000000005,2670,32595,292,24.649623287671236,20.969450394982278
2025-01-18,4692.9,1689,15427,353,13.294334277620395,19.84601388742684
2025-01-19,4978.52,1744,22795,360,13.829222222222224,19.184375303788254
2025-01-20,2492.9300000000003,1170,14042,345,7.225884057971015,18.34383195492697
2025-01-21,1183.02,568,9566,375,3.1547199999999997,16.817789448661305
2025-01-22,4317.639999999999,1498,17997,308,14.018311688311686,15.347880867602234
2025-01-23,5633.33,2100,18498,314,17.940541401273887,13.444662419295778
2025-01-24,5363.98,1988,24731,308,17.415519480519478,12.411219018274098
2025-01-25,6020.49,2321,25415,325,18.524584615384615,13.158397637954701
2025-01-26,6023.3,2256,24450,335,17.98,13.751365891922955
2025-01-27,2505.41,1195,11929,187,13.397914438502672,14.63308451771319
2025-01-28,1640.0,650,6494,77,21.2987012987013,17.22508184609909
2025-01-29,638.08,247,2664,40,15.952000000000002,17.501323033483136
2025-01-30,608.5699999999999,244,1769,42,14.489761904761902,17.008354533981425
2025-01-31,721.31,274,2426,40,18.03275,17.09653032247864
2025-02-01,803.04,313,2923,43,18.675348837209302,17.1180680684536
2025-02-02,1155.04,479,3952,56,20.625714285714285,17.496027252127067
2025-02-03,1403.28,586,4305,72,19.49,18.366325189483828
2025-02-04,1806.3899999999999,739,5816,92,19.63467391304348,18.12860699153271
2025-02-05,2007.82,834,7261,125,16.062559999999998,18.144401277246995
2025-02-06,2043.97,785,6741,110,18.581545454545456,18.72894178435893
2025-02-07,2523.3399999999997,998,10649,112,22.529821428571427,19.371380559869134
2025-02-08,1938.27,921,10912,121,16.018760330578512,18.991867916064734
2025-02-09,6023.95,2261,25806,285,21.136666666666667,19.06486111334365
2025-02-10,6045.35,2308,23718,329,18.374924012158054,18.90556454365194
2025-02-11,6026.83,2322,23983,322,18.716863354037265,18.774448749508196
2025-02-12,5596.5,2133,23313,293,19.100682593856654,19.208466262916293
2025-02-13,4784.7699999999995,1880,19950,257,18.617782101167315,19.213642926719412
2025-02-14,2291.69,1048,10320,164,13.973719512195123,17.99134265295137
2025-02-15,4297.860000000001,1699,17921,219,19.624931506849318,18.5065099638472
2025-02-16,4163.5599999999995,1642,17025,217,19.18691244239631,18.22797364609429
2025-02-17,3486.36,1337,13811,185,18.84518918918919,18.295154385670166
2025-02-18,4774.400000000001,1912,20547,232,20.57931034482759,18.561218241497357
2025-02-19,6011.5,2365,24958,285,21.09298245614035,18.845832507537885
2025-02-20,7039.79,2708,27758,328,21.4627743902439,19.25225997740597
2025-02-21,9725.85,3781,37022,347,28.028386167146977,21.260069499541945
2025-02-22,11883.539999999999,5919,52726,423,28.093475177304963,22.469861452464183
2025-02-23,5409.82,2791,24063,654,8.271896024464832,20.910573392759687
2025-02-24,4136.360000000001,2082,15798,325,12.72726153846154,20.036583728370022
2025-02-25,9347.93,4847,31163,434,21.53900921658986,20.1736835671932
2025-02-26,11830.61,5604,55080,765,15.464849673202615,19.369664598202096
2025-02-27,10743.59,5149,52985,743,14.459744279946165,18.36923172530242
2025-02-28,11046.39,5052,67483,847,13.041782762691852,16.22828838180883
2025-03-01,11748.529999999999,5710,51554,718,16.36285515320334,14.552485521222888
2025-03-02,7925.84,3966,29252,627,12.640893141945774,15.176627966577305
2025-03-03,6201.39,3128,23632,634,9.781372239747634,14.755786638189605
2025-03-04,8578.15,4063,39174,669,12.822346786248131,13.510549148140786
2025-03-05,8898.189999999999,4218,48108,793,11.22092055485498,12.904273559805413
2025-03-06,9476.79,4646,53527,876,10.818253424657534,12.384060580478463
2025-03-07,11087.039999999999,5517,49919,683,16.23285505124451,12.8399280502717
2025-03-08,11077.67,5029,68082,480,23.078479166666668,13.799302909337891
2025-03-09,5910.83,2843,35197,284,20.812781690140845,14.966715559080042
2025-03-10,4137.0,1940,18148,320,12.928125,15.416251667687524
2025-03-11,7027.45,2958,29758,556,12.63929856115108,15.390101921245089
2025-03-12,8650.55,3861,58638,623,13.885313001605136,15.770729413637968
2025-03-13,8223.18,3422,79377,314,26.188471337579617,17.966474829769695
2025-03-14,5448.18,2342,56701,464,11.74176724137931,17.32489085693181
2025-03-15,7132.08,3407,57870,461,15.470889370932754,16.238092314684106
2025-03-16,7194.849999999999,3413,64671,227,31.695374449339205,17.792748423141013
2025-03-17,8039.120000000001,3725,51124,269,29.885204460966545,20.215188346136237
2025-03-18,6559.960000000001,2403,36231,549,11.948925318761386,20.116563597223426
