方案ID,推广单元ID,总消费,总点击,总展现,预算份额B,点击份额Q,相对效率E,CPC,上方位消费,上方位点击,上方位展现,首位展现,CPC_top,CPC_other,溢价P,CTR,CTR_top,CTR_other,上方位消费占比,投放天数,象限
63563817,1841014603,4767.599999999999,4023,113857,0.0033434557327576024,0.0048190317615280035,1.4413326051586097,1.1850857568978372,3822.5499999999993,3384,21722,16402,1.1295951536643023,1.4789514866979658,0.7637810731617258,0.035333795901876915,0.15578675996685387,0.006935475118033321,0.8017765752160415,178,Ⅱ低预算高效率
63563817,2526158329,149.2,87,9929,0.00010463201512866732,0.00010421470625228344,0.9960116521136412,1.7149425287356321,57.980000000000004,28,389,114,2.0707142857142857,1.546101694915254,1.3393131205562692,0.008762211703091953,0.07197943444730077,0.0061844863731656185,0.38860589812332447,177,Ⅲ低预算低效率
63563817,2874903000,2847.91,2019,87675,0.0019972021595514944,0.0024184999071650607,1.2109439675892277,1.4105547300643881,2449.76,1591,18379,6249,1.5397611565053426,0.9302570093457936,1.655199736240832,0.023028229255774166,0.08656618967299635,0.006176402678365274,0.8601957224771851,178,Ⅱ低预算高效率
63563817,4190988309,2478.0,1635,222330,0.0017377890984506543,0.001958517755430844,1.1270169419160143,1.5155963302752293,1976.9,1216,21473,4101,1.6257401315789475,1.195942720763723,1.3593795951538197,0.007353933342328971,0.05662925534392027,0.0020860612276395645,0.7977804681194512,178,Ⅱ低预算高效率
63563817,4190988310,4981.89,3283,125307,0.0034937345164165984,0.00393260782329019,1.1256172456182298,1.5174809625342676,2139.0699999999997,1397,18042,4168,1.5311882605583391,1.5073276776246027,1.015829725207022,0.026199653650634043,0.07743044008424786,0.01758262247704284,0.4293691751524019,172,Ⅱ低预算高效率
495403620,8878077181,124225.65,168752,255414,0.0871178290225773,0.20214298976419925,2.320340073118813,0.736143275338959,120059.29999999999,165572,226265,209161,0.7251183775034425,1.3101729559748445,0.5534524080936417,0.6606998833266775,0.7317614301814245,0.1090946516175512,0.9664614352993927,225,Ⅰ高预算高效率
495403620,9628223555,91605.25,72103,3454523,0.06424156772027716,0.08637003407940681,1.344457134911187,1.2704776500284316,60283.979999999996,46083,640168,299538,1.3081609270229801,1.2037382782475021,1.0867486318766109,0.020872056721000266,0.07198579122980217,0.00924545766259054,0.6580843346860578,321,Ⅰ高预算高效率
495817671,9630806627,171870.04,107520,4417936,0.12053021866920013,0.12879500248558065,1.0685702217056747,1.5984936755952381,93638.19,53916,784959,372125,1.7367421544624972,1.4594405268263564,1.1900054319028337,0.02433715653644598,0.06868638998979565,0.01475484155280917,0.5448197370524845,309,Ⅰ高预算高效率
500635396,9657930100,808153.3,358634,8769221,0.5667473747445203,0.4295969765756485,0.7580043520612746,2.253420757652649,654872.75,264775,3857566,1025327,2.4733179114342367,1.6330937896206017,1.5144983877556935,0.04089690520971019,0.06863784054504836,0.019109444779814543,0.8103323342242121,321,Ⅳ高预算低效率
500635396,9700005700,26939.520000000004,12173,163203,0.018892334210449307,0.014581673784012027,0.7718301836914856,2.2130551219912924,5896.0599999999995,1161,53950,50382,5.078432385874246,1.9109571376679992,2.6575333824973257,0.07458808967972402,0.021519925857275257,0.10079357088592533,0.21886284536621287,148,Ⅳ高预算低效率
500635396,9773660250,6433.9400000000005,4206,180446,0.004512038253464731,0.005038242005713841,1.1166221832993204,1.5297051830718023,5241.240000000001,3349,51578,15466,1.56501642281278,1.39171528588098,1.1245234127195043,0.02330891236159294,0.06493078444297956,0.006650215724617438,0.814623698697843,161,Ⅱ低预算高效率
525368335,9811363528,181497.49,100380,4780540,0.12728182385720607,0.12024220935177254,0.9446926961595783,1.8081041044032675,52695.299999999996,17374,426248,342886,3.0329975825946813,1.5517214418234826,1.9546018382207175,0.0209976278830425,0.0407603085527674,0.019063030223972117,0.29033624652329904,259,Ⅳ高预算低效率
