,63563817|1841014603,63563817|2526158329,63563817|2874903000,63563817|4190988309,63563817|4190988310,495403620|8878077181,495403620|9628223555,495817671|9630806627,500635396|9657930100,500635396|9700005700,500635396|9773660250,525368335|9811363528
63563817|1841014603,1.0,0.030303030303030304,0.0,0.11818181818181818,0.4326923076923077,0.0,0.002277904328018223,0.0019342359767891683,0.0,0.0,0.0,0.0
63563817|2526158329,0.030303030303030304,1.0,0.0,0.08955223880597014,0.020618556701030927,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63563817|2874903000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63563817|4190988309,0.11818181818181818,0.08955223880597014,0.0,1.0,0.034482758620689655,0.0,0.0,0.0020491803278688526,0.0,0.0,0.0,0.0
63563817|4190988310,0.4326923076923077,0.020618556701030927,0.0,0.034482758620689655,1.0,0.0,0.0,0.0019455252918287938,0.0,0.0,0.0,0.0
495403620|8878077181,0.0,0.0,0.0,0.0,0.0,1.0,0.0027247956403269754,0.0022471910112359553,0.0,0.0,0.0,0.000945179584120983
495403620|9628223555,0.002277904328018223,0.0,0.0,0.0,0.0,0.0027247956403269754,1.0,0.1384180790960452,0.004914004914004914,0.0,0.0,0.10600155884645363
495817671|9630806627,0.0019342359767891683,0.0,0.0,0.0020491803278688526,0.0019455252918287938,0.0022471910112359553,0.1384180790960452,1.0,0.012474012474012475,0.0,0.0,0.052742616033755275
500635396|9657930100,0.0,0.0,0.0,0.0,0.0,0.0,0.004914004914004914,0.012474012474012475,1.0,0.0,0.0,0.0
500635396|9700005700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
500635396|9773660250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
525368335|9811363528,0.0,0.0,0.0,0.0,0.0,0.000945179584120983,0.10600155884645363,0.052742616033755275,0.0,0.0,0.0,1.0
