关键词,消费额,点击量,累计消费占比,累计点击占比
2533,192244.35,79015,0.13481845479540408,0.09464971281062272
2832,164553.1,74970,0.25021739720278097,0.18445404071560764
2874,109274.9,41192,0.3268504590634926,0.23379670945059683
3989,83543.92000000001,126025,0.3854387203151281,0.38475829974305686
4721,72784.49,23518,0.43648153366632175,0.412929810796404
3567,72315.59,33903,0.487195513564394,0.4535412037397507
5553,71798.68,51724,0.5375469912226435,0.5154998412822003
4536,48121.97,23315,0.571294301024522,0.5434281846876254
5778,46615.59,40349,0.6039852061833789,0.5917610488551356
6360,42720.89,25029,0.6339448090392467,0.6217425417607494
844,38287.88,15931,0.6607955998114688,0.6408258117067853
6522,31241.97,10293,0.6827051858157617,0.6531554895395986
5867,24613.57,15146,0.6999663613686375,0.6712984313889904
1952,23556.53,28520,0.7164862485587764,0.7054616891167504
2541,23406.79,30621,0.7329011250402987,0.7421416721069938
6483,21240.56,994,0.7477968526816523,0.7433323550726808
6261,19081.08,16451,0.7611781651697827,0.7630385175158568
2818,13968.87,6980,0.7709743514745447,0.7713996514197756
3408,12956.21,6733,0.7800603725316253,0.7794649113875529
5210,12400.94,6640,0.7887569899812955,0.7874187694279571
6474,12373.58,764,0.7974344202198816,0.7883339422506783
3897,12164.19,1125,0.8059650079829951,0.7896815462108371
444,11668.97,6940,0.814148304420336,0.7979947653072836
5573,10656.71,10553,0.8216217161247774,0.8106358893886669
5045,9739.85,3556,0.8284521458718104,0.8148955157729557
4969,9353.77,4456,0.8350118227513214,0.8202332253253715
5460,9272.73,2590,0.8415146673360125,0.8233357091092038
797,8332.06,3712,0.8473578323209008,0.8277822032426346
389,6387.87,4897,0.8518375622210718,0.8336481735474327
5493,6217.86,3852,0.8561980663260516,0.8382623695070165
5630,5131.63,5913,0.8597968115020825,0.8453453759216114
1934,4656.78,2449,0.8630625505676112,0.8482789600091039
2914,4623.04,5627,0.8663046282112836,0.8550193755502716
4025,4371.61,319,0.8693703812759025,0.8554014961398633
6660,4349.38,2727,0.8724205447315152,0.8586680881392883
3371,4326.98,2145,0.8754549993593397,0.8612375196899912
2843,4274.73,5539,0.8784528117437741,0.8678725226547199
5070,4240.55,2224,0.8814266541400925,0.8705365859501806
861,4227.49,768,0.8843913377287806,0.871456550253649
5331,4160.45,2130,0.8873090070400167,0.8740080137515498
6586,4114.5,2439,0.8901944522156783,0.8769296191371742
9,3458.48,3285,0.8926198391232301,0.8808646227008379
3595,3343.5,420,0.8949645920567152,0.8813677281792972
2961,3144.54,4114,0.8971698169376666,0.8862957661278247
6159,2994.77,1923,0.8992700100713927,0.8885992704970562
353,2953.6,2626,0.9013413312211884,0.8917448776076137
5484,2870.73,670,0.9033545367210369,0.892547450632775
2933,2839.7,2473,0.905345981286677,0.8955097836047508
110,2839.66,1512,0.9073373978008388,0.8973209633272042
2978,2698.76,4658,0.9092300029830647,0.9029006426573553
6607,2674.93,1735,0.9111058964971568,0.9049789474314669
4760,2609.7200000000003,476,0.9129360590889243,0.9055491336403874
4718,2596.0699999999997,814,0.9147566491137584,0.906524199972449
1424,2592.53,2414,0.9165747565827723,0.9094158586034031
509,2532.96,350,0.9183510883878868,0.9098351131687858
5703,2433.25,464,0.920057494870735,0.9103909249354647
416,2417.24,1207,0.9217526737494361,0.9118367542509418
3374,2398.88,445,0.9234349769996465,0.9123698064840713
815,2298.65,2510,0.925046990258374,0.9153764606529591
232,2235.16,1712,0.9266144788083391,0.9174272144127741
2742,2201.88,6284,0.9281586285284473,0.9249546306666746
4045,2116.51,24,0.9296429093812215,0.9249833795511581
3515,2110.21,88,0.9311227721261802,0.9250887921275971
4594,2097.0,303,0.9325933708704657,0.9254517467942
4177,2055.48,1404,0.9340348521803864,0.9271335565364781
6298,1983.14,693,0.9354256023919943,0.927963680575936
2985,1924.54,1292,0.9367752571880492,0.9295113288572917
1438,1912.61,934,0.938116545630733,0.9306301396117703
6180,1896.27,400,0.9394463750445747,0.9311092876864934
4054,1793.1,669,0.9407038526832864,0.9319106628414678
5964,1774.21,550,0.9419480830114211,0.9325694914442122
2586,1681.3799999999999,525,0.9431272128715386,0.9331983732922863
5626,1662.23,1045,0.9442929130864711,0.9344501476375006
1924,1649.24,645,0.9454495035838604,0.9352227739079916
5453,1623.0,2785,0.9465876923115547,0.9385588423782515
