序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均访问时长(秒),累计消费占比,累计点击占比
904,3567,495817671,9630806627,33494.72,17166,33833,0.6059,185.0,0.1948840402629895,0.15965401785714287
1084,6360,495817671,9630806627,31984.96,19838,39158,0.6224,273.0,0.3809837668004888,0.3441592261904762
834,2533,495817671,9630806627,19372.48,19493,16351,0.6791,148.0,0.49369965671728644,0.5254557291666667
1010,5210,495817671,9630806627,12400.94,6640,12836,0.408,379.0,0.5658526793506722,0.587211681547619
932,3989,495817671,9630806627,8240.76,1204,10226,0.1738,567.0,0.6138003141909584,0.5984095982142857
1026,5493,495817671,9630806627,6217.86,3852,3190,0.8329,153.0,0.6499780066329204,0.6342354910714286
1034,5630,495817671,9630806627,5131.63,5913,4780,0.9174,91.0,0.6798356315820098,0.6892299107142857
684,353,495817671,9630806627,2953.6,2626,2546,0.8257,148.0,0.6970207133298425,0.7136532738095238
1073,6159,495817671,9630806627,2951.62,1910,1493,0.8262,168.0,0.7141942747425382,0.7314174107142857
858,2933,495817671,9630806627,2839.7,2473,3691,0.6966,195.0,0.730716646302438,0.7544177827380952
668,110,495817671,9630806627,2838.16,1511,3464,0.2866,448.0,0.7472300576016758,0.7684709821428571
761,1424,495817671,9630806627,2592.53,2414,145,0.8839,97.0,0.7623143073253041,0.7909226190476191
979,4760,495817671,9630806627,2556.38,436,1281,0.7647,242.0,0.7771882236574156,0.7949776785714285
717,815,495817671,9630806627,2298.65,2510,2693,0.7592,154.0,0.790562576365858,0.8183221726190476
764,1438,495817671,9630806627,1912.61,934,966,0.6199,276.0,0.8016908128236457,0.8270089285714286
938,4054,495817671,9630806627,1793.1,669,1298,0.7342,146.0,0.812123698143946,0.8332310267857143
835,2541,495817671,9630806627,1719.88,695,3422,0.4544,346.0,0.8221305637982197,0.8396949404761904
836,2586,495817671,9630806627,1676.01,523,808,0.7976,129.0,0.8318821783906443,0.8445591517857143
1033,5626,495817671,9630806627,1662.23,1045,802,0.868,137.0,0.841553616105196,0.8542782738095238
796,1924,495817671,9630806627,1649.24,645,683,0.7829,165.0,0.8511494734392274,0.8602771577380952
856,2899,495817671,9630806627,1569.85,1892,1578,0.822,176.0,0.860283411881073,0.8778738839285715
1092,6489,495817671,9630806627,1542.48,551,581,0.8906,109.0,0.8692581020538782,0.8829985119047619
967,4563,495817671,9630806627,1429.75,374,522,0.854,130.0,0.8775768895095132,0.8864769345238095
907,3587,495817671,9630806627,1331.48,832,1556,0.586,145.0,0.8853239076045851,0.8942150297619048
847,2821,495817671,9630806627,1327.25,927,1812,0.7814,140.0,0.8930463140745916,0.9028366815476191
905,3575,495817671,9630806627,1246.44,197,682,0.6395,291.0,0.9002985395938794,0.9046688988095238
1008,5194,495817671,9630806627,1244.51,197,219,0.9338,118.0,0.9075395356955842,0.9065011160714286
1055,5834,495817671,9630806627,1229.83,157,191,0.8879,160.0,0.9146951184034448,0.9079613095238095
1025,5486,495817671,9630806627,1121.76,52,93,0.7955,234.0,0.921221911910165,0.9084449404761905
