模型,变量,系数,HAC标准误,t值,p值,CI下,CI上
A_简化主模型,常数项,-0.654617,0.634103,-1.032352,0.301907,-1.897436,0.588201
A_简化主模型,当日消费弹性 lnC,0.73866,0.072766,10.151145,0.0,0.596041,0.881279
A_简化主模型,时间趋势 T(原始序号),0.000151,0.000356,0.423555,0.67189,-0.000547,0.000848
A_简化主模型,周末 W,-0.077811,0.040378,-1.927069,0.053971,-0.156949,0.001328
A_简化主模型,法定节假日 H,-0.164114,0.167707,-0.978575,0.32779,-0.492814,0.164586
A2_简化+滞后1日,常数项,-0.845891,0.70122,-1.206313,0.227697,-2.220257,0.528475
A2_简化+滞后1日,当日消费弹性 lnC,0.695204,0.059864,11.613044,0.0,0.577873,0.812536
A2_简化+滞后1日,滞后1日消费 lnC1,0.067708,0.048213,1.404329,0.160221,-0.026789,0.162204
A2_简化+滞后1日,时间趋势 T(原始序号),0.000173,0.000356,0.487748,0.625729,-0.000524,0.000871
A2_简化+滞后1日,周末 W,-0.108101,0.037388,-2.891283,0.003837,-0.181381,-0.034821
A2_简化+滞后1日,法定节假日 H,-0.143423,0.180994,-0.79242,0.428116,-0.498164,0.211318
B_修正,常数项,-0.504884,0.683097,-0.73911,0.45984,-1.84373,0.833963
B_修正,当日消费弹性 lnC,0.722511,0.078279,9.229991,0.0,0.569088,0.875935
B_修正,时间趋势 T(原始序号),0.000153,0.000361,0.42403,0.671544,-0.000555,0.000861
B_修正,周末(非补班) Wc,-0.106692,0.046671,-2.286044,0.022252,-0.198165,-0.015218
B_修正,补班 MK,0.040395,0.082541,0.489385,0.624569,-0.121384,0.202173
B_修正,周一 isMon,-0.096651,0.069369,-1.393288,0.163533,-0.232611,0.03931
B_修正,法定节假日 H,-0.182909,0.172301,-1.061569,0.288431,-0.520612,0.154794
