日期,日消费,日点击,日展现,新注册数,活跃单元数,最大单元占比,星期,月份,是否周末,三态标签,CTR,CPC,CPA,消费MA7,注册MA7
2025-01-01,937.45,359,2761,102,2,0.8884207157715078,星期三,1,0,放假,0.13002535313292285,2.611281337047354,9.190686274509805,,
2025-01-02,3330.7699999999995,1201,13316,284,3,0.8793732380200374,星期四,1,0,正常,0.09019224992490238,2.7733305578684426,11.728063380281688,,
2025-01-03,3252.7,1207,10051,289,2,0.927460263780859,星期五,1,0,正常,0.12008755347726595,2.6948632974316484,11.255017301038063,,
2025-01-04,2895.55,1088,8526,299,2,0.9519055101794132,星期六,1,1,正常,0.12760966455547737,2.6613511029411767,9.684113712374582,2084.8314285714287,213.85714285714286
2025-01-05,2868.9,1089,7546,298,3,0.9616996061208128,星期日,1,1,正常,0.14431486880466474,2.634435261707989,9.627181208053692,2359.6099999999997,237.42857142857142
2025-01-06,711.6300000000001,347,3515,109,3,0.8116296389977937,星期一,1,0,正常,0.09871977240398293,2.0508069164265135,6.528715596330276,2337.2599999999998,237.57142857142858
2025-01-07,596.8199999999999,300,3035,116,3,0.8018833149023157,星期二,1,0,正常,0.09884678747940692,1.9893999999999998,5.145,2523.5814285714287,236.14285714285714
2025-01-08,2860.9,1095,7772,267,3,0.9398650774231885,星期三,1,0,正常,0.14089037570766855,2.612694063926941,10.71498127340824,2823.2714285714283,227.14285714285714
2025-01-09,3174.3199999999997,1186,10152,285,3,0.8705392020968271,星期四,1,0,正常,0.11682427107959023,2.676492411467116,11.137964912280701,3099.1114285714284,221.71428571428572
2025-01-10,4556.95,1765,16584,279,2,0.8511548294363555,星期五,1,0,正常,0.1064278822961891,2.581841359773371,16.3331541218638,3117.31,215.28571428571428
2025-01-11,4993.379999999999,1878,20840,236,2,0.8340342613620434,星期六,1,1,正常,0.0901151631477927,2.65888178913738,21.158389830508472,3144.7228571428573,206.85714285714286
2025-01-12,4799.78,1880,19978,260,2,0.8241836084153857,星期日,1,1,正常,0.09410351386525177,2.5530744680851063,18.460692307692305,3645.8242857142855,206.14285714285714
2025-01-13,839.02,423,8611,64,2,0.7911015232056448,星期一,1,0,正常,0.049123214493090234,1.983498817966903,13.1096875,4268.692857142857,199.85714285714286
2025-01-14,788.7099999999999,402,8403,57,2,0.7129489926588987,星期二,1,0,正常,0.047840057122456266,1.9619651741293531,13.837017543859648,4645.941428571428,201.71428571428572
2025-01-15,6368.61,2419,25764,262,3,0.6826104911432793,星期三,1,0,正常,0.09389070020183202,2.6327449359239354,24.30767175572519,4603.015714285714,218.42857142857142
2025-01-16,7534.4,2854,30219,241,4,0.5144696326183903,星期四,1,0,正常,0.09444389291505344,2.6399439383321655,31.263070539419086,4628.55,232.71428571428572
2025-01-17,7197.6900000000005,2670,32595,292,4,0.502255584777894,星期五,1,0,正常,0.08191440404970088,2.6957640449438203,24.649623287671236,4864.822857142857,272.85714285714283
2025-01-18,4692.9,1689,15427,353,5,0.6479405058705704,星期六,1,1,正常,0.10948337330654048,2.778507992895204,13.294334277620395,4921.152857142857,318.2857142857143
2025-01-19,4978.52,1744,22795,360,4,0.6400114893582831,星期日,1,1,正常,0.07650800614169774,2.8546559633027524,13.829222222222224,4628.157142857142,324.85714285714283
2025-01-20,2492.9300000000003,1170,14042,345,4,0.6045937912416313,星期一,1,0,正常,0.0833214641788919,2.130709401709402,7.225884057971015,4356.575714285714,335.2857142857143
2025-01-21,1183.02,568,9566,375,4,0.7294213115585535,星期二,1,0,正常,0.059376960066903614,2.082781690140845,3.1547199999999997,4094.617142857143,337.57142857142856
2025-01-22,4317.639999999999,1498,17997,308,4,0.7386836327252851,星期三,1,0,正常,0.08323609490470633,2.8822696929238982,14.018311688311686,4284.272857142857,333.57142857142856
2025-01-23,5633.33,2100,18498,314,4,0.5052340267656963,星期四,1,0,正常,0.11352578657152125,2.6825380952380953,17.940541401273887,4433.527142857142,330.0
