月份,消费,点击,展现,注册,天数,活跃单元,日均消费,CTR,CPC,日均注册,CPA
1,104527.06,40107,427871,7149,31,2.870967741935484,3371.8406451612905,0.09373619618997314,2.606204901887451,230.61290322580646,14.621214155825989
2,148347.8,64495,637989,8385,28,2.5,5298.135714285714,0.10109108464252518,2.300144197224591,299.4642857142857,17.69204531902206
3,202974.03,98305,1704448,11229,31,3.193548387096774,6547.549354838709,0.0576755641709222,2.064737602360002,362.2258064516129,18.07587763825808
4,80689.63,72615,1647394,6297,30,3.066666666666667,2689.6543333333334,0.04407870855423778,1.1111978241410179,209.9,12.813979672860093
5,120876.47,81623,2778337,7046,31,5.741935483870968,3899.2409677419355,0.029378365547447986,1.4809118753292576,227.29032258064515,17.155332103321033
6,75401.41,37416,1680515,3430,30,3.2,2513.3803333333335,0.022264603410264115,2.015218355783622,114.33333333333333,21.98291836734694
7,69910.8,58268,2056385,4547,31,8.451612903225806,2255.187096774194,0.02833516097423391,1.1998146495503537,146.67741935483872,15.375148449527162
8,165108.35,121826,4297078,8130,31,10.806451612903226,5326.075806451613,0.028350893327977755,1.3552800715774957,262.258064516129,20.308530135301353
9,115844.81999999999,68347,1913116,8079,30,9.3,3861.4939999999997,0.03572548658837206,1.694951058568774,269.3,14.339004827330115
10,87806.89,56541,1694901,6176,31,8.548387096774194,2832.480322580645,0.03335947055314735,1.552977308501795,199.2258064516129,14.217436852331605
11,124404.66,63965,1916592,7525,30,9.433333333333334,4146.822,0.03337434362660389,1.9448864222621747,250.83333333333334,16.53218073089701
12,130057.87,71307,1825755,7320,31,9.225806451612904,4195.415161290322,0.0390561712825653,1.8239144824491285,236.1290322580645,17.767468579234972
