推广单元ID,Z_CTR(正向),Z_跳出率(负向同向化),Z_平均访问时长(正向),TOPSIS得分C
8878077181,1.000000,1.000000,1.000000,1.000000
4190988309,0.000000,0.573050,0.667953,0.192679
9628223555,0.020691,0.397512,0.345659,0.116901
9700005700,0.102907,0.290442,0.009983,0.105340
9657930100,0.051340,0.432439,0.226831,0.104525
1841014603,0.042825,0.370286,0.198235,0.090215
9773660250,0.024420,0.336684,0.214780,0.084091
9630806627,0.025994,0.312218,0.216551,0.083031
9811363528,0.020883,0.226507,0.117448,0.052987
2526158329,0.002155,0.209764,0.141245,0.052618
4190988310,0.028845,0.136749,0.090548,0.043999
2874903000,0.023991,0.000000,0.000000,0.022468
