推广单元ID,CTR,CTR排名,跳出率,跳出率排名,平均访问时长(秒),平均访问时长排名,TOPSIS得分C,TOPSIS排名
8878077181,0.660700,1,0.082077,1,637.293454,1,1.000000,1
4190988309,0.007354,12,0.451066,2,453.480392,2,0.192679,2
9628223555,0.020872,10,0.602774,4,275.066697,3,0.116901,3
9700005700,0.074588,2,0.695309,8,89.245071,11,0.105340,4
9657930100,0.040897,3,0.572588,3,209.286384,4,0.104525,5
1841014603,0.035334,4,0.626304,5,193.456376,7,0.090215,6
9773660250,0.023309,7,0.655344,6,202.615311,6,0.084091,7
9630806627,0.024337,6,0.676489,7,203.596041,5,0.083031,8
9811363528,0.020998,9,0.750564,9,148.734984,9,0.052987,9
2526158329,0.008762,11,0.765034,10,161.908046,8,0.052618,10
4190988310,0.026200,5,0.828137,11,133.843693,10,0.043999,11
2874903000,0.023028,8,0.946322,12,83.718610,12,0.022468,12
