月份,展现量,点击量,消费额,上方位展现量,上方位点击量,上方首位展现量,CTR,上方位CTR,CPC,首位展现率,投放天数,日均展现量,投放单元数
1月,427871,40107,104527.06,139994,2824,137030,0.093736,0.020172,2.606205,0.32026,31,13802.290323,5
2月,637989,64495,148347.8,220345,5199,214897,0.101091,0.023595,2.300144,0.336835,28,22785.321429,6
3月,1704448,98305,202974.03,499783,20745,399486,0.057676,0.041508,2.064738,0.234379,31,54982.193548,5
4月,1647394,72615,80689.63,383301,34940,190843,0.044079,0.091156,1.111198,0.115845,30,54913.133333,5
5月,2778337,81623,120876.47,525426,59431,147986,0.029378,0.11311,1.480912,0.053264,31,89623.774194,11
6月,1680515,37416,75401.41,422772,32361,92418,0.022265,0.076545,2.015218,0.054994,30,56017.166667,7
7月,2056385,58268,69910.8,581760,51861,159465,0.028335,0.089145,1.199815,0.077546,31,66335.0,12
8月,4297078,121826,165108.35,1122550,101545,420126,0.028351,0.090459,1.35528,0.09777,31,138615.419355,12
9月,1913116,68347,115844.82,647085,65644,174912,0.035725,0.101446,1.694951,0.091428,30,63770.533333,12
10月,1694901,56541,87806.89,484647,54379,120813,0.033359,0.112203,1.552977,0.07128,31,54674.225806,12
11月,1916592,63965,124404.66,502004,61592,142068,0.033374,0.122692,1.944886,0.074125,30,63886.4,12
12月,1825755,71307,130057.87,591072,69325,145875,0.039056,0.117287,1.823914,0.079898,31,58895.322581,11
