月份,上方位展现量,上方位点击量,上方位CTR,上方首位展现量,首位展现率
1,139994,2824,0.020172,137030,0.978828
2,220345,5199,0.023595,214897,0.975275
3,499783,20745,0.041508,399486,0.799319
4,383301,34940,0.091156,190843,0.497893
5,525426,59431,0.113110,147986,0.281650
6,422772,32361,0.076545,92418,0.218600
7,581760,51861,0.089145,159465,0.274108
8,1122550,101545,0.090459,420126,0.374260
9,647085,65644,0.101446,174912,0.270308
10,484647,54379,0.112203,120813,0.249280
11,502004,61592,0.122692,142068,0.283002
12,591072,69325,0.117287,145875,0.246797
