月份,CTR,上方位CTR,CPC,D+,D-,综合得分,等权得分
1月,0.093736,0.020172,2.606205,0.32049,0.504407,61.147902,39.014703
2月,0.101091,0.023595,2.300144,0.286589,0.557787,66.059071,44.930994
3月,0.057676,0.041508,2.064738,0.385154,0.26473,40.734978,34.660407
4月,0.044079,0.091156,1.111198,0.409648,0.301945,42.432284,61.34642
5月,0.029378,0.11311,1.480912,0.508906,0.274128,35.008411,55.503431
6月,0.022265,0.076545,2.015218,0.579538,0.157365,21.354872,35.09763
7月,0.028335,0.089145,1.199815,0.520076,0.251631,32.607015,54.159301
8月,0.028351,0.090459,1.35528,0.520306,0.239761,31.544712,52.316411
9月,0.035725,0.101446,1.694951,0.470333,0.249498,34.660633,51.913021
10月,0.033359,0.112203,1.552977,0.482104,0.274089,36.245914,55.70174
11月,0.033374,0.122692,1.944886,0.489955,0.275695,36.007929,51.841548
12月,0.039056,0.117287,1.823914,0.447629,0.283574,38.781822,54.478314
