月份,CTR,上方位CTR,CPC,上方位点击占比,综合得分,等权得分
1月,0.093736,0.020172,2.606205,0.070412,61.147902,39.014703
2月,0.101091,0.023595,2.300144,0.080611,66.059071,44.930994
3月,0.057676,0.041508,2.064738,0.211027,40.734978,34.660407
4月,0.044079,0.091156,1.111198,0.481168,42.432284,61.34642
5月,0.029378,0.11311,1.480912,0.728116,35.008411,55.503431
6月,0.022265,0.076545,2.015218,0.864897,21.354872,35.09763
7月,0.028335,0.089145,1.199815,0.890043,32.607015,54.159301
8月,0.028351,0.090459,1.35528,0.833525,31.544712,52.316411
9月,0.035725,0.101446,1.694951,0.960452,34.660633,51.913021
10月,0.033359,0.112203,1.552977,0.961762,36.245914,55.70174
11月,0.033374,0.122692,1.944886,0.962902,36.007929,51.841548
12月,0.039056,0.117287,1.823914,0.972205,38.781822,54.478314
