推广单元ID,全年展现量,全年点击量,全年消费额,CTR,平均点击成本CPC,跳出率,平均访问时长秒
9657930100,8769221,358634,808153.300000,0.040897,2.253421,0.572588,209.286384
8878077181,255414,168752,124225.650000,0.660700,0.736143,0.082077,637.293454
9630806627,4417936,107520,171870.040000,0.024337,1.598494,0.676489,203.596041
9811363528,4780540,100380,181497.490000,0.020998,1.808104,0.750564,148.734984
9628223555,3454523,72103,91605.250000,0.020872,1.270478,0.602774,275.066697
9700005700,163203,12173,26939.520000,0.074588,2.213055,0.695309,89.245071
9773660250,180446,4206,6433.940000,0.023309,1.529705,0.655344,202.615311
1841014603,113857,4023,4767.600000,0.035334,1.185086,0.626304,193.456376
4190988310,125307,3283,4981.890000,0.026200,1.517481,0.828137,133.843693
2874903000,87675,2019,2847.910000,0.023028,1.410555,0.946322,83.718610
4190988309,222330,1635,2478.000000,0.007354,1.515596,0.451066,453.480392
2526158329,9929,87,149.200000,0.008762,1.714943,0.765034,161.908046
