关键词ID,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均停留秒,CPC,浏览深度,零跳出,点击超浏览,筛查结果
2533,500635396,9657930100,172871.87,59522,156572,0.5621,222.0,2.9043,2.6305,False,False,正常
2832,500635396,9657930100,164553.1,74970,173306,0.5672,212.0,2.1949,2.3117,False,False,正常
2874,500635396,9657930100,103832.28,39270,110134,0.5535,234.0,2.6441,2.8045,False,False,正常
3989,495403620,8878077181,75197.1,124758,1230619,0.0814,631.0,0.6027,9.864,False,False,正常
4721,500635396,9657930100,72765.96,23486,55320,0.57,222.0,3.0983,2.3554,False,False,正常
5553,500635396,9657930100,71798.68,51724,100920,0.5765,187.0,1.3881,1.9511,False,False,正常
4536,500635396,9657930100,48121.97,23315,52173,0.575,196.0,2.064,2.2377,False,False,正常
5778,495403620,8878077181,46615.59,40349,425786,0.0839,653.0,1.1553,10.5526,False,False,正常
3567,500635396,9657930100,38819.52,16735,32505,0.6115,175.0,2.3197,1.9423,False,False,正常
844,500635396,9657930100,38287.88,15931,48781,0.5177,229.0,2.4034,3.062,False,False,正常
3567,495817671,9630806627,33494.72,17166,33833,0.6059,185.0,1.9512,1.9709,False,False,正常
6360,495817671,9630806627,31984.96,19838,39158,0.6224,273.0,1.6123,1.9739,False,False,正常
6522,525368335,9811363528,31241.97,10293,31253,0.8863,39.0,3.0353,3.0363,False,False,高消费低效
5867,500635396,9657930100,24613.57,15146,13988,0.5599,213.0,1.6251,0.9235,False,True,正常
1952,525368335,9811363528,23556.53,28520,31283,0.6368,210.0,0.826,1.0969,False,False,正常
2541,495403620,9628223555,21686.91,29926,87461,0.4974,328.0,0.7247,2.9226,False,False,正常
6483,525368335,9811363528,21240.56,994,2010,0.8,157.0,21.3688,2.0221,False,False,高消费低效
2533,495817671,9630806627,19372.48,19493,16351,0.6791,148.0,0.9938,0.8388,False,True,高消费低效
6261,495403620,9628223555,18916.77,16391,13078,0.8917,106.0,1.1541,0.7979,False,True,高消费低效
2818,500635396,9657930100,13968.87,6980,12860,0.6439,136.0,2.0013,1.8424,False,False,正常
3408,500635396,9657930100,12956.21,6733,12890,0.5714,229.0,1.9243,1.9145,False,False,正常
5210,495817671,9630806627,12400.94,6640,12836,0.408,379.0,1.8676,1.9331,False,False,正常
6474,525368335,9811363528,12230.47,690,1211,0.6592,172.0,17.7253,1.7551,False,False,正常
3897,500635396,9700005700,12164.19,1125,364,0.7423,257.0,10.8126,0.3236,False,True,正常
444,495403620,9628223555,11427.64,6746,61262,0.1014,598.0,1.694,9.0812,False,False,正常
6360,495403620,9628223555,10735.93,5191,13273,0.6879,230.0,2.0682,2.5569,False,False,正常
5573,500635396,9657930100,10656.71,10553,10503,0.5927,209.0,1.0098,0.9953,False,True,正常
5045,525368335,9811363528,9739.85,3556,5599,0.6304,63.0,2.739,1.5745,False,False,正常
4969,525368335,9811363528,9353.77,4456,5427,0.449,320.0,2.0991,1.2179,False,False,正常
5460,525368335,9811363528,9272.73,2590,5678,0.697,171.0,3.5802,2.1923,False,False,高消费低效
797,500635396,9657930100,8332.06,3712,9168,0.6722,213.0,2.2446,2.4698,False,False,正常
3989,495817671,9630806627,8240.76,1204,10226,0.1738,567.0,6.8445,8.4934,False,False,正常
389,500635396,9700005700,6387.87,4897,24764,0.7273,68.0,1.3044,5.057,False,False,高消费低效
5493,495817671,9630806627,6217.86,3852,3190,0.8329,153.0,1.6142,0.8281,False,True,高消费低效
2874,495403620,9628223555,5435.94,1915,10266,0.3591,411.0,2.8386,5.3608,False,False,正常
5630,495817671,9630806627,5131.63,5913,4780,0.9174,91.0,0.8679,0.8084,False,True,高消费低效
1934,500635396,9657930100,4656.78,2449,5135,0.6731,189.0,1.9015,2.0968,False,False,高消费低效
2914,525368335,9811363528,4623.04,5627,3428,0.7333,205.0,0.8216,0.6092,False,True,正常
4025,525368335,9811363528,4371.61,319,1051,0.5397,264.0,13.7041,3.2947,False,False,正常
6660,500635396,9657930100,4349.38,2727,5333,0.7072,181.0,1.5949,1.9556,False,False,高消费低效
3371,500635396,9700005700,4326.98,2145,3643,0.6543,61.0,2.0172,1.6984,False,False,正常
5070,525368335,9811363528,4240.55,2224,4333,0.8343,111.0,1.9067,1.9483,False,False,高消费低效
861,500635396,9657930100,4227.49,768,2244,0.5787,239.0,5.5045,2.9219,False,False,正常
5331,500635396,9657930100,4160.45,2130,3953,0.7037,152.0,1.9533,1.8559,False,False,高消费低效
2843,525368335,9811363528,4124.08,5431,5542,0.7917,117.0,0.7594,1.0204,False,False,高消费低效
6586,500635396,9773660250,4114.5,2439,5984,0.6409,211.0,1.687,2.4535,False,False,正常
9,63563817,1841014603,3424.41,3271,9750,0.6109,196.0,1.0469,2.9807,False,False,正常
3595,525368335,9811363528,3343.5,420,418,0.8,121.0,7.9607,0.9952,False,True,高消费低效
2961,525368335,9811363528,3144.54,4114,5321,0.9121,95.0,0.7644,1.2934,False,False,高消费低效
