关键词ID,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均停留秒,CPC,浏览深度,零跳出,点击超浏览
4045,525368335,9811363528,2116.51,24,117,0.5714,341.0,88.1879,4.875,False,False
3515,525368335,9811363528,2110.21,88,180,0.6615,152.0,23.9797,2.0455,False,False
5486,495817671,9630806627,1121.76,52,93,0.7955,234.0,21.5723,1.7885,False,False
6483,525368335,9811363528,21240.56,994,2010,0.8,157.0,21.3688,2.0221,False,False
6474,525368335,9811363528,12230.47,690,1211,0.6592,172.0,17.7253,1.7551,False,False
5831,525368335,9811363528,52.79,3,19,0.3333,517.0,17.5967,6.3333,False,False
3923,525368335,9811363528,316.24,20,94,0.5263,244.0,15.812,4.7,False,False
4025,525368335,9811363528,4371.61,319,1051,0.5397,264.0,13.7041,3.2947,False,False
5640,525368335,9811363528,531.84,40,33,0.875,30.0,13.296,0.825,False,True
640,525368335,9811363528,432.45,35,165,0.3871,337.0,12.3557,4.7143,False,False
3897,500635396,9700005700,12164.19,1125,364,0.7423,257.0,10.8126,0.3236,False,True
5182,525368335,9811363528,132.06,13,23,0.7,33.0,10.1585,1.7692,False,False
