,排名,推广单元ID,CTR,跳出率,平均访问时长秒,综合得分C
0,1,8878077181,0.660700,0.082077,637.293454,1.000000
1,2,4190988309,0.007354,0.451066,453.480392,0.192679
2,3,9628223555,0.020872,0.602774,275.066697,0.116901
3,4,9700005700,0.074588,0.695309,89.245071,0.105340
4,5,9657930100,0.040897,0.572588,209.286384,0.104525
5,6,1841014603,0.035334,0.626304,193.456376,0.090215
6,7,9773660250,0.023309,0.655344,202.615311,0.084091
7,8,9630806627,0.024337,0.676489,203.596041,0.083031
8,9,9811363528,0.020998,0.750564,148.734984,0.052987
9,10,2526158329,0.008762,0.765034,161.908046,0.052618
10,11,4190988310,0.026200,0.828137,133.843693,0.043999
11,12,2874903000,0.023028,0.946322,83.718610,0.022468
