序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均访问时长,时长秒_原,是否无效词,是否活跃,时长缺失,时长秒,浏览深度,留存率,CPC,消费额_w,点击量_w,浏览深度_w,留存率_w,时长秒_w,x1,x2,x3,x4,S,d_plus,d_minus,基准类别,S_基准等权,类别_基准等权,S_流量优先,类别_流量优先,S_质量优先,类别_质量优先,稳定词,敏感性
1,9,63563817,1841014603,3424.41,3271,9750,0.6109, 00:03:16,196.0,False,True,False,196.0,2.9807398349128706,0.3891,1.0469000305716907,3424.41,3271.0,2.9807398349128706,0.3891,196.0,8.093156697722637,1.3814676901903444,0.3891,5.2832037287379885,0.6029584397484802,0.013402905288859263,0.020354027563129144,重点词,0.6029584397484802,重点词,0.6968058000340012,重点词,0.5555799893617444,重点词,True,稳定词
3,726,63563817,1841014603,252.86,135,255,0.9059, 00:00:39,39.0,False,True,False,39.0,1.8888888888888888,0.09409999999999996,1.873037037037037,252.86,135.0,1.8888888888888888,0.09409999999999996,39.0,4.912654885736052,1.0608719606852626,0.09409999999999996,3.6888794541139363,0.36625419443704876,0.021229634177959682,0.012269024103654618,重点词,0.36625419443704876,重点词,0.41649631867307335,重点词,0.3284392337110213,重点词,True,稳定词
7,1186,63563817,1841014603,1.79,1,1,1.0, 00:00:13,13.0,False,True,False,13.0,1.0,0.0,1.79,1.79,1.0,1.0,0.0,13.0,0.6931471805599453,0.6931471805599453,0.0,2.6390573296152584,0.15973308856622034,0.028769151445645035,0.0054689591525161245,潜力词,0.15973308856622034,潜力词,0.11163007131836757,潜力词,0.1599766973590889,潜力词,True,稳定词
10,1567,63563817,1841014603,37.32,23,77,0.6957, 00:03:07,187.0,False,True,False,187.0,3.347826086956522,0.3043,1.622608695652174,37.32,23.0,3.347826086956522,0.3043,187.0,3.1780538303479458,1.4696759700589417,0.3043,5.236441962829949,0.41841754147593757,0.01944878969339599,0.013992366256790418,重点词,0.41841754147593757,重点词,0.3519030209977782,重点词,0.4217574968660213,重点词,True,稳定词
12,1667,63563817,1841014603,88.09,41,86,0.8333, 00:00:49,49.0,False,True,False,49.0,2.097560975609756,0.16669999999999996,2.1485365853658536,88.09,41.0,2.097560975609756,0.16669999999999996,49.0,3.7376696182833684,1.1306150197542835,0.16669999999999996,3.912023005428146,0.346282993472263,0.02140575180948609,0.011338924550066215,重点词,0.346282993472263,重点词,0.3418436904467922,重点词,0.328969901393901,重点词,True,稳定词
15,2123,63563817,1841014603,6.32,3,2,1.0, 00:00:08,8.0,False,True,False,8.0,0.6666666666666666,0.0,2.106666666666667,6.32,3.0,0.6666666666666666,0.0,8.0,1.3862943611198906,0.5108256237659907,0.0,2.1972245773362196,0.13184875270225402,0.02854958749208752,0.004335912103694314,潜力词,0.13184875270225402,潜力词,0.107651257690931,潜力词,0.1284347771907295,潜力词,True,稳定词
19,2478,63563817,1841014603,49.0,25,166,0.4737, 00:10:46,646.0,False,True,False,646.0,6.64,0.5263,1.96,49.0,25.0,6.64,0.5263,646.0,3.258096538021482,2.033397603178429,0.5263,6.472346294500901,0.5447478221629591,0.016001462252800566,0.019147106017263472,重点词,0.5447478221629591,重点词,0.42893875460788594,重点词,0.5721879432225113,重点词,True,稳定词
20,2505,63563817,1841014603,6.15,2,7,0.0, 00:02:22,142.0,False,True,False,142.0,3.5,1.0,3.075,6.15,2.0,3.5,1.0,142.0,1.0986122886681098,1.5040773967762742,1.0,4.962844630259907,0.5152005699481566,0.019433579965522935,0.02065223441640559,黄金词,0.5152005699481566,黄金词,0.3603619220837384,黄金词,0.5924229219762907,黄金词,True,稳定词
21,2570,63563817,1841014603,10.34,7,27,0.5, 00:00:54,54.0,False,True,False,54.0,3.857142857142857,0.5,1.477142857142857,10.34,7.0,3.857142857142857,0.5,54.0,2.0794415416798357,1.580450375560848,0.5,4.007333185232471,0.42843493151738404,0.019584465377229767,0.014680164246169662,重点词,0.42843493151738404,重点词,0.3141043936139045,重点词,0.46481895530163514,重点词,True,稳定词
24,2889,63563817,1841014603,1.89,1,1,1.0, 00:00:21,21.0,False,True,False,21.0,1.0,0.0,1.89,1.89,1.0,1.0,0.0,21.0,0.6931471805599453,0.6931471805599453,0.0,3.091042453358316,0.1698329305497781,0.028621966486960377,0.005855390589989535,潜力词,0.1698329305497781,潜力词,0.11881617463855457,潜力词,0.1700914696535724,潜力词,True,稳定词
25,2892,63563817,1841014603,30.77,18,54,0.6842, 00:01:59,119.0,False,True,False,119.0,3.0,0.31579999999999997,1.7094444444444443,30.77,18.0,3.0,0.31579999999999997,119.0,2.9444389791664403,1.3862943611198906,0.31579999999999997,4.787491742782046,0.3974132966563658,0.019983609132375832,0.013179434495189702,重点词,0.3974132966563658,重点词,0.3288273240937122,重点词,0.40464247865601854,重点词,True,稳定词
27,2985,63563817,1841014603,114.03,75,197,0.6901, 00:02:44,164.0,False,True,False,164.0,2.6266666666666665,0.30989999999999995,1.5204,114.03,75.0,2.6266666666666665,0.30989999999999995,164.0,4.330733340286331,1.2883139527596867,0.30989999999999995,5.10594547390058,0.4374116229723603,0.018307699338678325,0.014234208895197038,重点词,0.4374116229723603,重点词,0.42027496992100205,重点词,0.42697731862063376,重点词,True,稳定词
30,3169,63563817,1841014603,5.66,4,4,1.0, 00:00:07,7.0,False,True,False,7.0,1.0,0.0,1.415,5.66,4.0,1.0,0.0,7.0,1.6094379124341003,0.6931471805599453,0.0,2.0794415416798357,0.1634272285571087,0.027764291491103803,0.005423845200480037,潜力词,0.1634272285571087,潜力词,0.13597173932143422,潜力词,0.15845716958685083,潜力词,True,稳定词
31,3304,63563817,1841014603,7.68,5,6,0.75, 00:00:50,50.0,False,True,False,50.0,1.2,0.25,1.536,7.68,5.0,1.2,0.25,50.0,1.791759469228055,0.7884573603642702,0.25,3.9318256327243257,0.26251805965935265,0.024195873588642343,0.008612894009742675,潜力词,0.26251805965935265,潜力词,0.2017844342694896,潜力词,0.27494369173020455,潜力词,True,稳定词
34,3501,63563817,1841014603,13.49,8,40,0.75, 00:06:01,361.0,False,True,False,361.0,5.0,0.25,1.68625,13.49,8.0,5.0,0.25,361.0,2.1972245773362196,1.791759469228055,0.25,5.8916442118257715,0.42266366324238197,0.020775202417405967,0.015209372075309494,重点词,0.42266366324238197,重点词,0.32056110328459786,重点词,0.4302732805124772,重点词,True,稳定词
35,3732,63563817,1841014603,15.92,10,11,0.9, 00:00:29,29.0,False,True,False,29.0,1.1,0.09999999999999998,1.592,15.92,10.0,1.1,0.09999999999999998,29.0,2.3978952727983707,0.7419373447293773,0.09999999999999998,3.4011973816621555,0.23032441327596787,0.025111909771858284,0.007514706175182507,问题词,0.23032441327596787,问题词,0.21033978888750365,问题词,0.22268636993054142,问题词,True,稳定词
38,4048,63563817,1841014603,2.81,2,23,0.0, 00:07:57,477.0,False,True,False,477.0,11.5,1.0,1.405,2.81,2.0,11.082051282051294,1.0,477.0,1.0986122886681098,2.4917209862077314,1.0,6.169610732491456,0.5814185046854591,0.018056944461608236,0.0250814758071603,黄金词,0.5814185046854591,黄金词,0.4107623103003735,黄金词,0.654905508612031,黄金词,True,稳定词
40,4186,63563817,1841014603,3.17,2,3,0.5, 00:02:04,124.0,False,True,False,124.0,1.5,0.5,1.585,3.17,2.0,1.5,0.5,124.0,1.0986122886681098,0.9162907318741551,0.5,4.8283137373023015,0.34799858571027403,0.022744233876094345,0.012139484744165619,黄金词,0.34799858571027403,黄金词,0.24055959284635386,潜力词,0.39124301662933836,黄金词,False,边界敏感词
