序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览量,跳出率,平均访问时长,时长秒_原,是否无效词,是否活跃,时长缺失,时长秒,浏览深度,留存率,CPC,消费额_w,点击量_w,浏览深度_w,留存率_w,时长秒_w,S,d_plus,d_minus,S_基准等权,S_流量优先,S_质量优先,类别_基准等权,类别_流量优先,类别_质量优先,基准类别,稳定词,敏感性
1,9,63563817,1841014603,3424.41,3271,9750,0.6109, 00:03:16,196.0,False,True,False,196.0,2.9807398349128706,0.3891,1.0469000305716907,3424.41,3271.0,2.9807398349128706,0.3891,196.0,0.6029584397484802,0.013402905288859263,0.020354027563129144,0.6029584397484802,0.6968058000340012,0.5555799893617444,重点词,重点词,重点词,重点词,True,稳定词
2,283,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
3,726,63563817,1841014603,252.86,135,255,0.9059, 00:00:39,39.0,False,True,False,39.0,1.8888888888888888,0.09409999999999996,1.873037037037037,252.86,135.0,1.8888888888888888,0.09409999999999996,39.0,0.36625419443704876,0.021229634177959682,0.012269024103654618,0.36625419443704876,0.41649631867307335,0.3284392337110213,重点词,重点词,重点词,重点词,True,稳定词
4,770,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
5,800,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
6,867,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
7,1186,63563817,1841014603,1.79,1,1,1.0, 00:00:13,13.0,False,True,False,13.0,1.0,0.0,1.79,1.79,1.0,1.0,0.0,13.0,0.15973308856622034,0.028769151445645035,0.0054689591525161245,0.15973308856622034,0.11163007131836757,0.1599766973590889,潜力词,潜力词,潜力词,潜力词,True,稳定词
8,1277,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
9,1517,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
10,1567,63563817,1841014603,37.32,23,77,0.6957, 00:03:07,187.0,False,True,False,187.0,3.347826086956522,0.3043,1.622608695652174,37.32,23.0,3.347826086956522,0.3043,187.0,0.41841754147593757,0.01944878969339599,0.013992366256790418,0.41841754147593757,0.3519030209977782,0.4217574968660213,重点词,重点词,重点词,重点词,True,稳定词
11,1583,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
12,1667,63563817,1841014603,88.09,41,86,0.8333, 00:00:49,49.0,False,True,False,49.0,2.097560975609756,0.16669999999999996,2.1485365853658536,88.09,41.0,2.097560975609756,0.16669999999999996,49.0,0.346282993472263,0.02140575180948609,0.011338924550066215,0.346282993472263,0.3418436904467922,0.328969901393901,重点词,重点词,重点词,重点词,True,稳定词
13,2023,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
14,2083,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
15,2123,63563817,1841014603,6.32,3,2,1.0, 00:00:08,8.0,False,True,False,8.0,0.6666666666666666,0.0,2.106666666666667,6.32,3.0,0.6666666666666666,0.0,8.0,0.13184875270225402,0.02854958749208752,0.004335912103694314,0.13184875270225402,0.107651257690931,0.1284347771907295,潜力词,潜力词,潜力词,潜力词,True,稳定词
16,2294,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
17,2373,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
18,2384,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
19,2478,63563817,1841014603,49.0,25,166,0.4737, 00:10:46,646.0,False,True,False,646.0,6.64,0.5263,1.96,49.0,25.0,6.64,0.5263,646.0,0.5447478221629591,0.016001462252800566,0.019147106017263472,0.5447478221629591,0.42893875460788594,0.5721879432225113,重点词,重点词,重点词,重点词,True,稳定词
20,2505,63563817,1841014603,6.15,2,7,0.0, 00:02:22,142.0,False,True,False,142.0,3.5,1.0,3.075,6.15,2.0,3.5,1.0,142.0,0.5152005699481566,0.019433579965522935,0.02065223441640559,0.5152005699481566,0.3603619220837384,0.5924229219762907,黄金词,黄金词,黄金词,黄金词,True,稳定词
21,2570,63563817,1841014603,10.34,7,27,0.5, 00:00:54,54.0,False,True,False,54.0,3.857142857142857,0.5,1.477142857142857,10.34,7.0,3.857142857142857,0.5,54.0,0.42843493151738404,0.019584465377229767,0.014680164246169662,0.42843493151738404,0.3141043936139045,0.46481895530163514,重点词,重点词,重点词,重点词,True,稳定词
22,2590,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
23,2789,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
24,2889,63563817,1841014603,1.89,1,1,1.0, 00:00:21,21.0,False,True,False,21.0,1.0,0.0,1.89,1.89,1.0,1.0,0.0,21.0,0.1698329305497781,0.028621966486960377,0.005855390589989535,0.1698329305497781,0.11881617463855457,0.1700914696535724,潜力词,潜力词,潜力词,潜力词,True,稳定词
25,2892,63563817,1841014603,30.77,18,54,0.6842, 00:01:59,119.0,False,True,False,119.0,3.0,0.31579999999999997,1.7094444444444443,30.77,18.0,3.0,0.31579999999999997,119.0,0.3974132966563658,0.019983609132375832,0.013179434495189702,0.3974132966563658,0.3288273240937122,0.40464247865601854,重点词,重点词,重点词,重点词,True,稳定词
26,2980,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
27,2985,63563817,1841014603,114.03,75,197,0.6901, 00:02:44,164.0,False,True,False,164.0,2.6266666666666665,0.30989999999999995,1.5204,114.03,75.0,2.6266666666666665,0.30989999999999995,164.0,0.4374116229723603,0.018307699338678325,0.014234208895197038,0.4374116229723603,0.42027496992100205,0.42697731862063376,重点词,重点词,重点词,重点词,True,稳定词
28,3106,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
29,3160,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
30,3169,63563817,1841014603,5.66,4,4,1.0, 00:00:07,7.0,False,True,False,7.0,1.0,0.0,1.415,5.66,4.0,1.0,0.0,7.0,0.1634272285571087,0.027764291491103803,0.005423845200480037,0.1634272285571087,0.13597173932143422,0.15845716958685083,潜力词,潜力词,潜力词,潜力词,True,稳定词
31,3304,63563817,1841014603,7.68,5,6,0.75, 00:00:50,50.0,False,True,False,50.0,1.2,0.25,1.536,7.68,5.0,1.2,0.25,50.0,0.26251805965935265,0.024195873588642343,0.008612894009742675,0.26251805965935265,0.2017844342694896,0.27494369173020455,潜力词,潜力词,潜力词,潜力词,True,稳定词
32,3334,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
33,3485,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
34,3501,63563817,1841014603,13.49,8,40,0.75, 00:06:01,361.0,False,True,False,361.0,5.0,0.25,1.68625,13.49,8.0,5.0,0.25,361.0,0.42266366324238197,0.020775202417405967,0.015209372075309494,0.42266366324238197,0.32056110328459786,0.4302732805124772,重点词,重点词,重点词,重点词,True,稳定词
35,3732,63563817,1841014603,15.92,10,11,0.9, 00:00:29,29.0,False,True,False,29.0,1.1,0.09999999999999998,1.592,15.92,10.0,1.1,0.09999999999999998,29.0,0.23032441327596787,0.025111909771858284,0.007514706175182507,0.23032441327596787,0.21033978888750365,0.22268636993054142,问题词,问题词,问题词,问题词,True,稳定词
36,3840,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
37,4043,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
38,4048,63563817,1841014603,2.81,2,23,0.0, 00:07:57,477.0,False,True,False,477.0,11.5,1.0,1.405,2.81,2.0,11.082051282051294,1.0,477.0,0.5814185046854591,0.018056944461608236,0.0250814758071603,0.5814185046854591,0.4107623103003735,0.654905508612031,黄金词,黄金词,黄金词,黄金词,True,稳定词
39,4183,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
40,4186,63563817,1841014603,3.17,2,3,0.5, 00:02:04,124.0,False,True,False,124.0,1.5,0.5,1.585,3.17,2.0,1.5,0.5,124.0,0.34799858571027403,0.022744233876094345,0.012139484744165619,0.34799858571027403,0.24055959284635386,0.39124301662933836,黄金词,潜力词,黄金词,黄金词,False,边界敏感词
41,4195,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
42,4675,63563817,1841014603,1.45,1,3,0.0, 00:00:42,42.0,False,True,False,42.0,3.0,1.0,1.45,1.45,1.0,3.0,1.0,42.0,0.48683888143863596,0.02084100633525854,0.019771981635626403,0.48683888143863596,0.3379033694827771,0.5647839292746155,黄金词,黄金词,黄金词,黄金词,True,稳定词
43,4713,63563817,1841014603,7.19,4,8,0.5, 00:00:31,31.0,False,True,False,31.0,2.0,0.5,1.7975,7.19,4.0,2.0,0.5,31.0,0.3568371962844677,0.021759891224671413,0.012072741973276561,0.3568371962844677,0.255244137771525,0.3981508877602844,黄金词,潜力词,黄金词,黄金词,False,边界敏感词
44,4773,63563817,1841014603,52.44,31,42,0.8621, 00:00:48,48.0,False,True,False,48.0,1.3548387096774193,0.13790000000000002,1.6916129032258065,52.44,31.0,1.3548387096774193,0.13790000000000002,48.0,0.2982118029084748,0.02288203960080879,0.00972329587738903,0.2982118029084748,0.302742591359174,0.281070867366072,问题词,重点词,问题词,问题词,False,边界敏感词
45,4827,63563817,1841014603,14.14,7,13,0.6667, 00:04:15,255.0,False,True,False,255.0,1.8571428571428572,0.33330000000000004,2.02,14.14,7.0,1.8571428571428572,0.33330000000000004,255.0,0.3522737001422724,0.021885142060123295,0.011902496429977144,0.3522737001422724,0.2681271749705993,0.36984170407448347,重点词,问题词,重点词,重点词,False,边界敏感词
46,4868,63563817,1841014603,6.19,3,3,1.0, 00:03:11,191.0,False,True,False,191.0,1.0,0.0,2.0633333333333335,6.19,3.0,1.0,0.0,191.0,0.2353600168100689,0.027181928206407347,0.008366733652745722,0.2353600168100689,0.17706981329053129,0.23247969655082112,潜力词,潜力词,潜力词,潜力词,True,稳定词
47,5001,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
48,5010,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
49,5134,63563817,1841014603,68.89,48,115,0.6744, 00:02:58,178.0,False,True,False,178.0,2.3958333333333335,0.3256,1.4352083333333334,68.89,48.0,2.3958333333333335,0.3256,178.0,0.41955063918083374,0.01889821805287883,0.013659691953617673,0.41955063918083374,0.3873948811965943,0.4165043541474917,重点词,重点词,重点词,重点词,True,稳定词
50,5176,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
51,5190,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
52,5267,63563817,1841014603,3.36,2,4,0.5, 00:02:13,133.0,False,True,False,133.0,2.0,0.5,1.68,3.36,2.0,2.0,0.5,133.0,0.36668155846522676,0.022190867659521652,0.012848168320142352,0.36668155846522676,0.25251652180675976,0.409724438331262,黄金词,潜力词,黄金词,黄金词,False,边界敏感词
53,5307,63563817,1841014603,88.18,34,40,0.6667, 00:01:30,90.0,False,True,False,90.0,1.1764705882352942,0.33330000000000004,2.593529411764706,88.18,34.0,1.1764705882352942,0.33330000000000004,90.0,0.34991129944851745,0.02092315737742392,0.011261923457967327,0.34991129944851745,0.3334926887506364,0.35189326079635275,重点词,重点词,重点词,重点词,True,稳定词
54,5310,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
55,5330,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
56,5353,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
57,5374,63563817,1841014603,38.32,26,33,0.7895, 00:02:33,153.0,False,True,False,153.0,1.2692307692307692,0.21050000000000002,1.4738461538461538,38.32,26.0,1.2692307692307692,0.21050000000000002,153.0,0.32534255436489506,0.022162166707642025,0.010687343589808468,0.32534255436489506,0.30728553432389094,0.3174848875074475,重点词,重点词,重点词,重点词,True,稳定词
58,5393,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
59,5418,63563817,1841014603,16.8,10,27,0.8, 00:01:44,104.0,False,True,False,104.0,2.7,0.19999999999999996,1.6800000000000002,16.8,10.0,2.7,0.19999999999999996,104.0,0.3443721808593131,0.022162049036727804,0.01164074027409641,0.3443721808593131,0.27612346770609125,0.3457046196595387,重点词,问题词,重点词,重点词,False,边界敏感词
60,5592,63563817,1841014603,7.11,4,3,1.0, 00:00:07,7.0,False,True,False,7.0,0.75,0.0,1.7775,7.11,4.0,0.75,0.0,7.0,0.1426117754085243,0.028162331007395947,0.0046843190860487134,0.1426117754085243,0.12366204275799211,0.1372583438651469,潜力词,潜力词,潜力词,潜力词,True,稳定词
61,5701,63563817,1841014603,0.0,0,0,,/,,True,False,False,96.0,,,,0.15,1.0,,,96.0,,,,,,,无效词,无效词,无效词,无效词,False,—
