类别,序号,关键词,方案ID,推广单元ID,消费额,点击量,浏览深度,留存率,时长秒,S,敏感性
黄金词,220,6245,63563817,4190988309,6.07,2,30.5,1.0,1360.0,0.5865172177165384,稳定词
黄金词,429,2354,495403620,9628223555,2.88,2,40.5,1.0,1618.0,0.5865172177165384,稳定词
黄金词,38,4048,63563817,1841014603,2.81,2,11.5,1.0,477.0,0.5814185046854591,稳定词
黄金词,1999,5150,525368335,9811363528,1.17,1,12.0,1.0,2062.0,0.57519215343437,稳定词
黄金词,1181,47,525368335,9811363528,0.38,1,55.0,1.0,724.0,0.572582526607296,稳定词
黄金词,952,4286,495817671,9630806627,1.71,1,11.0,1.0,230.0,0.565138381110614,稳定词
黄金词,1650,2890,525368335,9811363528,3.71,4,20.5,0.6667000000000001,2573.0,0.5555343381695951,稳定词
黄金词,1234,363,525368335,9811363528,1.21,1,9.0,1.0,187.0,0.5550010594818804,稳定词
重点词,1117,2533,500635396,9657930100,172871.87,59522,2.6304895668828334,0.43789999999999996,222.0,0.6459107672221075,稳定词
重点词,1119,2832,500635396,9657930100,164553.1,74970,2.3116713352007467,0.43279999999999996,212.0,0.6347351694261738,稳定词
重点词,1120,2874,500635396,9657930100,103832.28,39270,2.804532722179781,0.4465,234.0,0.653612481840087,稳定词
重点词,297,3989,495403620,8878077181,75197.1,124758,9.864048798473846,0.9186,631.0,0.9443026585581108,稳定词
重点词,1133,4721,500635396,9657930100,72765.96,23486,2.355445797496381,0.43000000000000005,222.0,0.6357477488457234,稳定词
重点词,1138,5553,500635396,9657930100,71798.68,51724,1.9511252030005413,0.4235,187.0,0.619410359031997,稳定词
重点词,1132,4536,500635396,9657930100,48121.97,23315,2.237743941668454,0.42500000000000004,196.0,0.6295894736595419,稳定词
重点词,298,5778,495403620,8878077181,46615.59,40349,10.552578750402736,0.9161,653.0,0.9479317764345842,稳定词
潜力词,1102,6596,495817671,9630806627,1.48,3,0.3333333333333333,0.0,1.0,0.07449864661292284,稳定词
潜力词,1001,5048,495817671,9630806627,2.15,3,0.3333333333333333,0.0,3.0,0.08134037346919784,稳定词
潜力词,374,1270,495403620,9628223555,3.53,4,0.25,0.0,3.0,0.08198634964250875,稳定词
潜力词,563,4931,495403620,9628223555,0.81,2,0.5,0.0,1.0,0.08677527623050757,稳定词
潜力词,751,1265,495817671,9630806627,1.37,2,0.5,0.0,1.0,0.08677527623050757,稳定词
潜力词,301,14,495403620,9628223555,1.48,2,0.5,0.0,1.0,0.08677527623050757,稳定词
潜力词,1563,2436,525368335,9811363528,1.86,2,0.5,0.0,1.0,0.08677527623050757,稳定词
潜力词,143,3465,63563817,2874903000,1.98,2,0.5,0.0,1.0,0.08677527623050757,稳定词
问题词,2084,5640,525368335,9811363528,531.84,40,0.825,0.125,30.0,0.2700687392208949,边界敏感词
问题词,1857,4260,525368335,9811363528,362.82,62,0.9354838709677419,0.08699999999999997,49.0,0.2964864553218153,边界敏感词
问题词,2011,5212,525368335,9811363528,242.98,40,0.9,0.18520000000000003,68.0,0.3011326195613382,边界敏感词
问题词,2212,6561,525368335,9811363528,190.83,93,0.12903225806451613,0.16669999999999996,108.0,0.3027258017821569,边界敏感词
问题词,1266,572,525368335,9811363528,126.06,22,1.1818181818181819,0.05259999999999998,45.0,0.26268467602489315,稳定词
问题词,2149,6162,525368335,9811363528,121.83,24,1.0,0.09519999999999995,45.0,0.26214250899800334,稳定词
问题词,1332,912,525368335,9811363528,116.42,16,0.5,0.0,252.0,0.25339668863511794,稳定词
问题词,2204,6516,525368335,9811363528,110.03,110,0.8,0.0,3.0,0.27128009975674533,边界敏感词
无效词,2,283,63563817,1841014603,0.0,0,,,,,—
无效词,4,770,63563817,1841014603,0.0,0,,,,,—
无效词,5,800,63563817,1841014603,0.0,0,,,,,—
无效词,6,867,63563817,1841014603,0.0,0,,,,,—
无效词,8,1277,63563817,1841014603,0.0,0,,,,,—
无效词,9,1517,63563817,1841014603,0.0,0,,,,,—
无效词,11,1583,63563817,1841014603,0.0,0,,,,,—
无效词,13,2023,63563817,1841014603,0.0,0,,,,,—
