方案ID,推广单元ID,黄金词,重点词,潜力词,问题词,无效词
63563817,1841014603,9.21,22.37,10.53,3.95,53.95
63563817,2526158329,15.38,11.54,11.54,15.38,46.15
63563817,2874903000,6.94,13.89,23.61,38.89,16.67
63563817,4190988309,6.38,21.28,8.51,4.26,59.57
63563817,4190988310,5.48,31.51,13.7,10.96,38.36
495403620,8878077181,0.0,100.0,0.0,0.0,0.0
495403620,9628223555,9.89,21.43,22.8,13.74,32.14
495817671,9630806627,6.11,25.34,21.04,11.09,36.43
500635396,9657930100,4.44,68.89,6.67,6.67,13.33
500635396,9700005700,5.88,29.41,23.53,5.88,35.29
500635396,9773660250,16.67,66.67,0.0,0.0,16.67
525368335,9811363528,12.8,13.93,20.57,7.39,45.31
