方案ID,推广单元ID,关键词ID,类,C,K,V,d,qbar,eta_raw,eta_sm,w,eta
63563817,1841014603,9,重点词,3424.41,3271.0,9750.0,2.9807398349128706,0.8438207903347595,1.1319951497667706,1.1316852036034772,0.7315411581490635,1.1316852036034772
63563817,1841014603,726,重点词,252.86,135.0,255.0,1.8888888888888888,0.8438207903347595,0.6327081277434472,0.6440540287490728,0.05401733356974551,0.6440540287490728
63563817,1841014603,1186,潜力词,1.79,1.0,1.0,1.0,0.8438207903347595,0.662059082065831,0.9385873864870901,0.0003823895716595921,0.9385873864870901
63563817,1841014603,1567,重点词,37.32,23.0,77.0,3.347826086956522,0.8438207903347595,0.7303583174879492,0.7782497225352636,0.007972502130913954,0.7782497225352636
63563817,1841014603,1667,重点词,88.09,41.0,86.0,2.097560975609756,0.8438207903347595,0.551578113665698,0.5891681334665766,0.01881826668575054,0.5891681334665766
63563817,1841014603,2123,潜力词,6.32,3.0,2.0,0.6666666666666666,0.8438207903347595,0.562540707388214,0.8077369451108145,0.001350112901055096,0.8077369451108145
63563817,1841014603,2478,重点词,49.0,25.0,166.0,6.64,0.8438207903347595,0.6046355902539987,0.6604827185847517,0.010467647492357549,0.6604827185847517
63563817,1841014603,2505,黄金词,6.15,2.0,7.0,3.5,0.8438207903347595,0.38539374208059757,0.7340022177196113,0.0013137965730203862,0.7340022177196113
63563817,1841014603,2570,重点词,10.34,7.0,27.0,3.857142857142857,0.8438207903347595,0.8022824273002769,0.88889132055896,0.0022088872463464707,0.88889132055896
63563817,1841014603,2889,潜力词,1.89,1.0,1.0,1.0,0.8438207903347595,0.627029501004147,0.9291543474269184,0.0004037521175623626,0.9291543474269184
63563817,1841014603,2892,重点词,30.77,18.0,54.0,3.0,0.8438207903347595,0.6932578363393266,0.756928756738632,0.006573255374282485,0.756928756738632
63563817,1841014603,2985,重点词,114.03,75.0,197.0,2.6266666666666665,0.8438207903347595,0.7794565620217295,0.7940161501133411,0.024359711092929212,0.7940161501133411
63563817,1841014603,3169,潜力词,5.66,4.0,4.0,1.0,0.8438207903347595,0.8375164359702032,0.9329696084250254,0.0012091200980968108,0.9329696084250254
63563817,1841014603,3304,潜力词,7.68,5.0,6.0,1.2,0.8438207903347595,0.7715402063136965,0.8885278770323499,0.001640643525332775,0.8885278770323499
63563817,1841014603,3501,重点词,13.49,8.0,40.0,5.0,0.8438207903347595,0.7027936289979764,0.813952949196413,0.0028818074422837414,0.813952949196413
63563817,1841014603,4048,黄金词,2.81,2.0,23.0,11.5,0.8438207903347595,0.8434774070447243,0.9595373977732912,0.0006002875398678513,0.9595373977732912
63563817,1841014603,4186,黄金词,3.17,2.0,3.0,1.5,0.8438207903347595,0.7476881746989511,0.9287775168117254,0.0006771927051178251,0.9287775168117254
63563817,1841014603,4675,黄金词,1.45,1.0,3.0,3.0,0.8438207903347595,0.8173005219985087,0.9721436127127064,0.00030975691559017237,0.9721436127127064
63563817,1841014603,4713,黄金词,7.19,4.0,8.0,2.0,0.8438207903347595,0.6592966658680598,0.8393667559076297,0.0015359670504091997,0.8393667559076297
63563817,1841014603,4827,重点词,14.14,7.0,13.0,1.8571428571428572,0.8438207903347595,0.5866761172761572,0.7367387521749937,0.00302066399065175,0.7367387521749937
63563817,1841014603,4868,潜力词,6.19,3.0,3.0,1.0,0.8438207903347595,0.5743549710328776,0.8151057733820009,0.0013223415913814944,0.8151057733820009
63563817,1841014603,5134,重点词,68.89,48.0,115.0,2.3958333333333335,0.8438207903347595,0.8257238544214864,0.8439781199622638,0.014716657872418604,0.8439781199622638
63563817,1841014603,5267,黄金词,3.36,2.0,4.0,2.0,0.8438207903347595,0.7054081886296653,0.9133250012080276,0.000717781542333089,0.9133250012080276
63563817,1841014603,5307,重点词,88.18,34.0,40.0,1.1764705882352942,0.8438207903347595,0.4569393936780049,0.502420155180034,0.018837492977063035,0.502420155180034
63563817,1841014603,5374,重点词,38.32,26.0,33.0,1.2692307692307692,0.8438207903347595,0.8040769749306831,0.8381248313786929,0.00818612758994166,0.8381248313786929
63563817,1841014603,5418,重点词,16.8,10.0,27.0,2.7,0.8438207903347595,0.7054081886296653,0.8009194516885911,0.0035889077116654454,0.8009194516885911
63563817,1841014603,5592,潜力词,7.11,4.0,3.0,0.75,0.8438207903347595,0.6667149124601055,0.8437932121022643,0.0015188770136869833,0.8437932121022643
