推广单元ID,C_h1,K_h1,C_h2,K_h2,q_h1,q_h2
1841014603,88.18,34,4679.42,3989,0.38557496030845995,0.852456073615961
2526158329,6.21,1,142.99,86,0.1610305958132045,0.6014406601860269
2874903000,7.03,4,2840.88,2015,0.5689900426742531,0.7092872631015741
4190988309,113.41,38,2364.59,1597,0.3350674543691033,0.6753813557530057
8878077181,26097.16,27019,98128.49,141733,1.0353233838471312,1.444361367427543
9628223555,65789.06,35470,25816.19,36633,0.5391473901587893,1.4189932751502061
9630806627,145483.29,78616,26386.75,28904,0.5403782111333886,1.0953982585956967
9657930100,292607.57,154574,515545.73,204060,0.5282638449852818,0.3958135779729957
9700005700,26526.6,11976,412.92,197,0.4514713532831196,0.47708999321902545
9773660250,2470.64,1370,3963.3,2836,0.5545121911731373,0.7155653117351701
9811363528,173627.25,85459,7870.24,14921,0.4921980852659937,1.895876110512513
