日期,新注册数,K,K1,K2,Rhat
2025-01-03,289,1207,1201.0,359.0,109.36570821365737
2025-01-04,299,1088,1207.0,1201.0,106.59509587198168
2025-01-05,298,1089,1088.0,1207.0,106.49934409584955
2025-01-06,109,347,1089.0,1088.0,41.62643473311741
2025-01-07,116,300,347.0,1089.0,36.12817100673882
2025-01-08,267,1095,300.0,347.0,97.84771383317303
2025-01-09,285,1186,1095.0,300.0,106.82797601824737
2025-01-10,279,1765,1186.0,1095.0,163.84607749234047
2025-01-11,236,1878,1765.0,1186.0,175.5138211659474
2025-01-12,260,1880,1878.0,1765.0,181.03397445070505
2025-01-13,64,423,1880.0,1878.0,56.717426033286806
2025-01-14,57,402,423.0,1880.0,52.05312786715615
2025-01-15,262,2419,402.0,423.0,212.60277953379773
2025-01-16,241,2854,2419.0,402.0,253.81351027303262
2025-01-17,292,2670,2854.0,2419.0,256.69946338095076
2025-01-18,353,1689,2670.0,2854.0,175.80814536443495
2025-01-19,360,1744,1689.0,2670.0,176.97391818211287
2025-01-20,345,1170,1744.0,1689.0,119.02764250008386
2025-01-21,375,568,1170.0,1744.0,66.60181960290359
2025-01-22,308,1498,568.0,1170.0,140.3247495131867
2025-01-23,314,2100,1498.0,568.0,188.61137867238256
2025-01-24,308,1988,2100.0,1498.0,188.39814591492032
2025-01-25,325,2321,1988.0,2100.0,222.14805161317076
2025-01-26,335,2256,2321.0,1988.0,216.22308675996427
2025-01-27,187,1195,2256.0,2321.0,127.78274816173173
2025-01-28,77,650,1195.0,2256.0,78.23625325515056
2025-01-29,40,247,650.0,1195.0,33.10580438895242
2025-01-30,42,244,247.0,650.0,27.22821070848243
2025-01-31,40,274,244.0,247.0,26.235467038255997
2025-02-01,43,313,274.0,244.0,29.622625543676456
2025-02-02,56,479,313.0,274.0,44.24328419812889
2025-02-03,72,586,479.0,313.0,54.119513385078726
2025-02-04,92,739,586.0,479.0,68.96004097698392
2025-02-05,125,834,739.0,586.0,78.38036839635222
2025-02-06,110,785,834.0,739.0,75.70754313616155
2025-02-07,112,998,785.0,834.0,94.77247349373829
2025-02-08,121,921,998.0,785.0,88.13615909396812
2025-02-09,285,2261,921.0,998.0,205.12680570134773
2025-02-10,329,2308,2261.0,921.0,211.13263866829956
2025-02-11,322,2322,2308.0,2261.0,224.29077250022573
2025-02-12,293,2133,2322.0,2308.0,208.47800185631246
2025-02-13,257,1880,2133.0,2322.0,186.46763642512775
2025-02-14,164,1048,1880.0,2133.0,112.7326271389133
2025-02-15,219,1699,1048.0,1880.0,164.84538560758853
2025-02-16,217,1642,1699.0,1048.0,153.86299541889858
2025-02-17,185,1337,1642.0,1699.0,133.27898475484176
2025-02-18,232,1912,1337.0,1642.0,181.62984448108833
2025-02-19,285,2365,1912.0,1337.0,219.02881737803145
2025-02-20,328,2708,2365.0,1912.0,254.51501764708075
2025-02-21,347,3781,2708.0,2365.0,351.4935923584542
2025-02-22,423,5919,3781.0,2708.0,540.5430048460883
2025-02-23,654,2791,5919.0,3781.0,285.21244002039725
2025-02-24,325,2082,2791.0,5919.0,236.9802748480276
2025-02-25,434,4847,2082.0,2791.0,445.71853405783446
2025-02-26,765,5604,4847.0,2082.0,510.0118342624783
