方案ID,推广单元ID,B_week,K_week,E_week,lo85,hi115
63563817,1841014603,146.02,143,3905,124.117,167.923
63563817,2526158329,1.79,2,270,1.5215,2.0585
63563817,2874903000,68.84,61,2451,58.514,79.166
63563817,4190988309,48.559999999999995,47,7774,41.275999999999996,55.84399999999999
63563817,4190988310,100.64,80,3601,85.544,115.73599999999999
495403620,8878077181,3394.7,4922,6783,2885.495,3903.9049999999993
495403620,9628223555,258.53000000000003,319,26073,219.75050000000002,297.3095
495817671,9630806627,186.8,227,19277,158.78,214.82
500635396,9657930100,19048.3,6696,181293,16191.054999999998,21905.545
500635396,9773660250,0.0,0,200,0.0,0.0
525368335,9811363528,233.84,346,126627,198.764,268.916
